,REF_DATE,GEO,New housing price indexes,UOM,HPI_kitchener_camb_water_ont
65,1986-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",45.9
66,1986-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",45.7
67,1986-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",45.4
68,1986-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",45.9
69,1986-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",45.9
70,1986-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",47.0
71,1986-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",47.4
72,1987-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",48.5
73,1987-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",48.9
74,1987-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",49.3
75,1987-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",50.6
76,1987-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",50.9
77,1987-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",51.8
78,1987-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.5
79,1987-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.5
80,1987-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.5
81,1987-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.5
82,1987-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.5
83,1987-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.3
84,1988-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.5
85,1988-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.1
86,1988-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.2
87,1988-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.4
88,1988-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.7
89,1988-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.1
90,1988-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.2
91,1988-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.7
92,1988-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.8
93,1988-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.9
94,1988-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.5
95,1988-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",57.1
96,1989-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",57.2
97,1989-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",58.6
98,1989-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",59.3
99,1989-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",59.4
100,1989-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.0
101,1989-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.0
102,1989-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.3
103,1989-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.8
104,1989-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",61.1
105,1989-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",61.1
106,1989-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",61.6
107,1989-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",61.9
108,1990-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.2
109,1990-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.9
110,1990-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.9
111,1990-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",63.0
112,1990-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",61.3
113,1990-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.7
114,1990-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.4
115,1990-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.0
116,1990-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",59.9
117,1990-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",58.6
118,1990-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.6
119,1990-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.6
120,1991-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.1
121,1991-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.5
122,1991-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.1
123,1991-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.9
124,1991-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.0
125,1991-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.9
126,1991-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.2
127,1991-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.2
128,1991-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.9
129,1991-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.8
130,1991-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.8
131,1991-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.8
132,1992-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.7
133,1992-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.8
134,1992-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.2
135,1992-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.6
136,1992-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.5
137,1992-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.0
138,1992-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.2
139,1992-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.2
140,1992-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.2
141,1992-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.2
142,1992-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.3
143,1992-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.4
144,1993-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.4
145,1993-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.2
146,1993-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.2
147,1993-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.2
148,1993-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.4
149,1993-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.7
150,1993-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.4
151,1993-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.1
152,1993-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.6
153,1993-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.3
154,1993-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.1
155,1993-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.2
156,1994-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.3
157,1994-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.0
158,1994-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.3
159,1994-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.6
160,1994-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.9
161,1994-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.9
162,1994-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.8
163,1994-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.9
164,1994-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.9
165,1994-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.0
166,1994-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.4
167,1994-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.0
168,1995-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.2
169,1995-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.4
170,1995-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.4
171,1995-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.8
172,1995-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.4
173,1995-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.7
174,1995-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.6
175,1995-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.6
176,1995-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.1
