,REF_DATE,GEO,New housing price indexes,UOM,HPI_troisriv_qc
71,1986-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
72,1987-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
73,1987-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
74,1987-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
75,1987-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
76,1987-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
77,1987-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
78,1987-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
79,1987-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
80,1987-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
81,1987-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
82,1987-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
83,1987-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
84,1988-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
85,1988-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
86,1988-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
87,1988-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
88,1988-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
89,1988-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
90,1988-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
91,1988-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
92,1988-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
93,1988-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
94,1988-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
95,1988-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
96,1989-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
97,1989-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
98,1989-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
99,1989-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
100,1989-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
101,1989-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
102,1989-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
103,1989-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
104,1989-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
105,1989-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
106,1989-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
107,1989-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
108,1990-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
109,1990-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
110,1990-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
111,1990-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
112,1990-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
113,1990-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
114,1990-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
115,1990-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
116,1990-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
117,1990-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
118,1990-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
119,1990-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
120,1991-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
121,1991-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
122,1991-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
123,1991-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
124,1991-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
125,1991-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
