,REF_DATE,GEO,New housing price indexes,UOM,HPI_saskatoon_sask
79,1987-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.6
80,1987-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.8
81,1987-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.8
82,1987-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.8
83,1987-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.9
84,1988-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.9
85,1988-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.8
86,1988-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.9
87,1988-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.9
88,1988-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.9
89,1988-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
90,1988-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
91,1988-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
92,1988-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.3
93,1988-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.3
94,1988-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.3
95,1988-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.3
96,1989-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
97,1989-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
98,1989-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
99,1989-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
100,1989-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
101,1989-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
102,1989-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
103,1989-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
104,1989-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.3
