,REF_DATE,GEO,New housing price indexes,UOM,HPI_calgary_alb
90,1988-07,"Calgary, Alberta",House only,"Index, 201612=100",28.4
91,1988-08,"Calgary, Alberta",House only,"Index, 201612=100",28.7
92,1988-09,"Calgary, Alberta",House only,"Index, 201612=100",28.7
93,1988-10,"Calgary, Alberta",House only,"Index, 201612=100",28.9
94,1988-11,"Calgary, Alberta",House only,"Index, 201612=100",28.9
95,1988-12,"Calgary, Alberta",House only,"Index, 201612=100",28.8
96,1989-01,"Calgary, Alberta",House only,"Index, 201612=100",28.8
97,1989-02,"Calgary, Alberta",House only,"Index, 201612=100",29.0
98,1989-03,"Calgary, Alberta",House only,"Index, 201612=100",29.3
99,1989-04,"Calgary, Alberta",House only,"Index, 201612=100",29.3
100,1989-05,"Calgary, Alberta",House only,"Index, 201612=100",29.4
101,1989-06,"Calgary, Alberta",House only,"Index, 201612=100",29.7
102,1989-07,"Calgary, Alberta",House only,"Index, 201612=100",29.7
103,1989-08,"Calgary, Alberta",House only,"Index, 201612=100",29.9
104,1989-09,"Calgary, Alberta",House only,"Index, 201612=100",30.3
105,1989-10,"Calgary, Alberta",House only,"Index, 201612=100",30.6
106,1989-11,"Calgary, Alberta",House only,"Index, 201612=100",31.2
107,1989-12,"Calgary, Alberta",House only,"Index, 201612=100",32.0
108,1990-01,"Calgary, Alberta",House only,"Index, 201612=100",32.5
109,1990-02,"Calgary, Alberta",House only,"Index, 201612=100",33.0
110,1990-03,"Calgary, Alberta",House only,"Index, 201612=100",33.9
111,1990-04,"Calgary, Alberta",House only,"Index, 201612=100",34.0
112,1990-05,"Calgary, Alberta",House only,"Index, 201612=100",33.8
113,1990-06,"Calgary, Alberta",House only,"Index, 201612=100",33.7
114,1990-07,"Calgary, Alberta",House only,"Index, 201612=100",33.2
115,1990-08,"Calgary, Alberta",House only,"Index, 201612=100",33.3
116,1990-09,"Calgary, Alberta",House only,"Index, 201612=100",33.2
117,1990-10,"Calgary, Alberta",House only,"Index, 201612=100",33.2
118,1990-11,"Calgary, Alberta",House only,"Index, 201612=100",33.3
119,1990-12,"Calgary, Alberta",House only,"Index, 201612=100",32.1
120,1991-01,"Calgary, Alberta",House only,"Index, 201612=100",32.1
121,1991-02,"Calgary, Alberta",House only,"Index, 201612=100",32.1
122,1991-03,"Calgary, Alberta",House only,"Index, 201612=100",32.3
123,1991-04,"Calgary, Alberta",House only,"Index, 201612=100",31.8
124,1991-05,"Calgary, Alberta",House only,"Index, 201612=100",31.9
125,1991-06,"Calgary, Alberta",House only,"Index, 201612=100",31.9
126,1991-07,"Calgary, Alberta",House only,"Index, 201612=100",31.6
127,1991-08,"Calgary, Alberta",House only,"Index, 201612=100",31.8
128,1991-09,"Calgary, Alberta",House only,"Index, 201612=100",31.8
129,1991-10,"Calgary, Alberta",House only,"Index, 201612=100",31.7
130,1991-11,"Calgary, Alberta",House only,"Index, 201612=100",31.5
131,1991-12,"Calgary, Alberta",House only,"Index, 201612=100",31.3
132,1992-01,"Calgary, Alberta",House only,"Index, 201612=100",31.5
133,1992-02,"Calgary, Alberta",House only,"Index, 201612=100",31.4
134,1992-03,"Calgary, Alberta",House only,"Index, 201612=100",31.6
135,1992-04,"Calgary, Alberta",House only,"Index, 201612=100",31.7
136,1992-05,"Calgary, Alberta",House only,"Index, 201612=100",31.7
137,1992-06,"Calgary, Alberta",House only,"Index, 201612=100",31.8
138,1992-07,"Calgary, Alberta",House only,"Index, 201612=100",31.8
139,1992-08,"Calgary, Alberta",House only,"Index, 201612=100",31.8
140,1992-09,"Calgary, Alberta",House only,"Index, 201612=100",31.9
