,REF_DATE,GEO,New housing price indexes,UOM,HPI_calgary_alb
394,2013-11,"Calgary, Alberta",House only,"Index, 201612=100",96.4
395,2013-12,"Calgary, Alberta",House only,"Index, 201612=100",96.6
396,2014-01,"Calgary, Alberta",House only,"Index, 201612=100",98.3
397,2014-02,"Calgary, Alberta",House only,"Index, 201612=100",99.6
398,2014-03,"Calgary, Alberta",House only,"Index, 201612=100",100.6
399,2014-04,"Calgary, Alberta",House only,"Index, 201612=100",101.2
400,2014-05,"Calgary, Alberta",House only,"Index, 201612=100",102.0
401,2014-06,"Calgary, Alberta",House only,"Index, 201612=100",102.2
402,2014-07,"Calgary, Alberta",House only,"Index, 201612=100",102.5
403,2014-08,"Calgary, Alberta",House only,"Index, 201612=100",102.8
404,2014-09,"Calgary, Alberta",House only,"Index, 201612=100",103.0
405,2014-10,"Calgary, Alberta",House only,"Index, 201612=100",103.3
406,2014-11,"Calgary, Alberta",House only,"Index, 201612=100",103.6
407,2014-12,"Calgary, Alberta",House only,"Index, 201612=100",103.7
408,2015-01,"Calgary, Alberta",House only,"Index, 201612=100",103.8
409,2015-02,"Calgary, Alberta",House only,"Index, 201612=100",103.7
410,2015-03,"Calgary, Alberta",House only,"Index, 201612=100",102.8
411,2015-04,"Calgary, Alberta",House only,"Index, 201612=100",102.4
412,2015-05,"Calgary, Alberta",House only,"Index, 201612=100",102.4
413,2015-06,"Calgary, Alberta",House only,"Index, 201612=100",101.9
414,2015-07,"Calgary, Alberta",House only,"Index, 201612=100",101.7
415,2015-08,"Calgary, Alberta",House only,"Index, 201612=100",101.6
416,2015-09,"Calgary, Alberta",House only,"Index, 201612=100",101.6
417,2015-10,"Calgary, Alberta",House only,"Index, 201612=100",101.7
418,2015-11,"Calgary, Alberta",House only,"Index, 201612=100",101.8
419,2015-12,"Calgary, Alberta",House only,"Index, 201612=100",101.8
420,2016-01,"Calgary, Alberta",House only,"Index, 201612=100",101.8
421,2016-02,"Calgary, Alberta",House only,"Index, 201612=100",101.3
422,2016-03,"Calgary, Alberta",House only,"Index, 201612=100",101.3
423,2016-04,"Calgary, Alberta",House only,"Index, 201612=100",101.3
424,2016-05,"Calgary, Alberta",House only,"Index, 201612=100",100.8
425,2016-06,"Calgary, Alberta",House only,"Index, 201612=100",99.9
426,2016-07,"Calgary, Alberta",House only,"Index, 201612=100",100.0
427,2016-08,"Calgary, Alberta",House only,"Index, 201612=100",100.0
428,2016-09,"Calgary, Alberta",House only,"Index, 201612=100",99.7
429,2016-10,"Calgary, Alberta",House only,"Index, 201612=100",99.4
430,2016-11,"Calgary, Alberta",House only,"Index, 201612=100",99.8
431,2016-12,"Calgary, Alberta",House only,"Index, 201612=100",100.0
432,2017-01,"Calgary, Alberta",House only,"Index, 201612=100",99.8
433,2017-02,"Calgary, Alberta",House only,"Index, 201612=100",99.5
434,2017-03,"Calgary, Alberta",House only,"Index, 201612=100",99.5
435,2017-04,"Calgary, Alberta",House only,"Index, 201612=100",99.8
436,2017-05,"Calgary, Alberta",House only,"Index, 201612=100",99.1
437,2017-06,"Calgary, Alberta",House only,"Index, 201612=100",99.3
438,2017-07,"Calgary, Alberta",House only,"Index, 201612=100",100.2
439,2017-08,"Calgary, Alberta",House only,"Index, 201612=100",100.3
440,2017-09,"Calgary, Alberta",House only,"Index, 201612=100",100.2
441,2017-10,"Calgary, Alberta",House only,"Index, 201612=100",100.2
442,2017-11,"Calgary, Alberta",House only,"Index, 201612=100",100.5
443,2017-12,"Calgary, Alberta",House only,"Index, 201612=100",100.1
444,2018-01,"Calgary, Alberta",House only,"Index, 201612=100",100.1
445,2018-02,"Calgary, Alberta",House only,"Index, 201612=100",99.5
446,2018-03,"Calgary, Alberta",House only,"Index, 201612=100",99.0
447,2018-04,"Calgary, Alberta",House only,"Index, 201612=100",98.9
448,2018-05,"Calgary, Alberta",House only,"Index, 201612=100",98.8
449,2018-06,"Calgary, Alberta",House only,"Index, 201612=100",99.1
450,2018-07,"Calgary, Alberta",House only,"Index, 201612=100",99.5
451,2018-08,"Calgary, Alberta",House only,"Index, 201612=100",99.1
452,2018-09,"Calgary, Alberta",House only,"Index, 201612=100",98.8
453,2018-10,"Calgary, Alberta",House only,"Index, 201612=100",98.3
454,2018-11,"Calgary, Alberta",House only,"Index, 201612=100",98.5
455,2018-12,"Calgary, Alberta",House only,"Index, 201612=100",98.8
456,2019-01,"Calgary, Alberta",House only,"Index, 201612=100",98.6
457,2019-02,"Calgary, Alberta",House only,"Index, 201612=100",98.6
458,2019-03,"Calgary, Alberta",House only,"Index, 201612=100",98.4
459,2019-04,"Calgary, Alberta",House only,"Index, 201612=100",97.5
460,2019-05,"Calgary, Alberta",House only,"Index, 201612=100",97.4
461,2019-06,"Calgary, Alberta",House only,"Index, 201612=100",95.8
462,2019-07,"Calgary, Alberta",House only,"Index, 201612=100",95.8
463,2019-08,"Calgary, Alberta",House only,"Index, 201612=100",95.8
464,2019-09,"Calgary, Alberta",House only,"Index, 201612=100",95.7
465,2019-10,"Calgary, Alberta",House only,"Index, 201612=100",95.3
466,2019-11,"Calgary, Alberta",House only,"Index, 201612=100",95.6
467,2019-12,"Calgary, Alberta",House only,"Index, 201612=100",95.6
468,2020-01,"Calgary, Alberta",House only,"Index, 201612=100",95.0
469,2020-02,"Calgary, Alberta",House only,"Index, 201612=100",95.5
470,2020-03,"Calgary, Alberta",House only,"Index, 201612=100",94.6
471,2020-04,"Calgary, Alberta",House only,"Index, 201612=100",94.5
472,2020-05,"Calgary, Alberta",House only,"Index, 201612=100",94.5
473,2020-06,"Calgary, Alberta",House only,"Index, 201612=100",94.4
474,2020-07,"Calgary, Alberta",House only,"Index, 201612=100",93.5
475,2020-08,"Calgary, Alberta",House only,"Index, 201612=100",93.3
476,2020-09,"Calgary, Alberta",House only,"Index, 201612=100",94.0
477,2020-10,"Calgary, Alberta",House only,"Index, 201612=100",94.4
478,2020-11,"Calgary, Alberta",House only,"Index, 201612=100",95.1
479,2020-12,"Calgary, Alberta",House only,"Index, 201612=100",95.2
480,2021-01,"Calgary, Alberta",House only,"Index, 201612=100",95.5
481,2021-02,"Calgary, Alberta",House only,"Index, 201612=100",96.7
482,2021-03,"Calgary, Alberta",House only,"Index, 201612=100",97.8
483,2021-04,"Calgary, Alberta",House only,"Index, 201612=100",101.6
484,2021-05,"Calgary, Alberta",House only,"Index, 201612=100",105.7
485,2021-06,"Calgary, Alberta",House only,"Index, 201612=100",111.0
486,2021-07,"Calgary, Alberta",House only,"Index, 201612=100",110.8
487,2021-08,"Calgary, Alberta",House only,"Index, 201612=100",111.3
488,2021-09,"Calgary, Alberta",House only,"Index, 201612=100",111.3
489,2021-10,"Calgary, Alberta",House only,"Index, 201612=100",111.6
490,2021-11,"Calgary, Alberta",House only,"Index, 201612=100",112.2
491,2021-12,"Calgary, Alberta",House only,"Index, 201612=100",112.7
492,2022-01,"Calgary, Alberta",House only,"Index, 201612=100",116.1
493,2022-02,"Calgary, Alberta",House only,"Index, 201612=100",122.0
494,2022-03,"Calgary, Alberta",House only,"Index, 201612=100",128.3
495,2022-04,"Calgary, Alberta",House only,"Index, 201612=100",131.1
496,2022-05,"Calgary, Alberta",House only,"Index, 201612=100",133.4
497,2022-06,"Calgary, Alberta",House only,"Index, 201612=100",133.6
498,2022-07,"Calgary, Alberta",House only,"Index, 201612=100",133.2
499,2022-08,"Calgary, Alberta",House only,"Index, 201612=100",133.6
500,2022-09,"Calgary, Alberta",House only,"Index, 201612=100",133.0
