,REF_DATE,GEO,New housing price indexes,UOM,HPI_vancouver_bc
85,1988-02,"Vancouver, British Columbia",House only,"Index, 201612=100",81.3
86,1988-03,"Vancouver, British Columbia",House only,"Index, 201612=100",81.3
87,1988-04,"Vancouver, British Columbia",House only,"Index, 201612=100",82.1
88,1988-05,"Vancouver, British Columbia",House only,"Index, 201612=100",81.8
89,1988-06,"Vancouver, British Columbia",House only,"Index, 201612=100",83.0
90,1988-07,"Vancouver, British Columbia",House only,"Index, 201612=100",83.2
91,1988-08,"Vancouver, British Columbia",House only,"Index, 201612=100",83.2
92,1988-09,"Vancouver, British Columbia",House only,"Index, 201612=100",83.2
93,1988-10,"Vancouver, British Columbia",House only,"Index, 201612=100",83.3
94,1988-11,"Vancouver, British Columbia",House only,"Index, 201612=100",84.1
95,1988-12,"Vancouver, British Columbia",House only,"Index, 201612=100",84.1
96,1989-01,"Vancouver, British Columbia",House only,"Index, 201612=100",86.0
97,1989-02,"Vancouver, British Columbia",House only,"Index, 201612=100",90.2
98,1989-03,"Vancouver, British Columbia",House only,"Index, 201612=100",90.9
99,1989-04,"Vancouver, British Columbia",House only,"Index, 201612=100",93.1
100,1989-05,"Vancouver, British Columbia",House only,"Index, 201612=100",92.8
101,1989-06,"Vancouver, British Columbia",House only,"Index, 201612=100",93.6
102,1989-07,"Vancouver, British Columbia",House only,"Index, 201612=100",94.9
103,1989-08,"Vancouver, British Columbia",House only,"Index, 201612=100",92.2
104,1989-09,"Vancouver, British Columbia",House only,"Index, 201612=100",93.7
105,1989-10,"Vancouver, British Columbia",House only,"Index, 201612=100",93.8
106,1989-11,"Vancouver, British Columbia",House only,"Index, 201612=100",95.1
107,1989-12,"Vancouver, British Columbia",House only,"Index, 201612=100",97.5
108,1990-01,"Vancouver, British Columbia",House only,"Index, 201612=100",101.0
109,1990-02,"Vancouver, British Columbia",House only,"Index, 201612=100",101.3
110,1990-03,"Vancouver, British Columbia",House only,"Index, 201612=100",100.1
111,1990-04,"Vancouver, British Columbia",House only,"Index, 201612=100",99.6
112,1990-05,"Vancouver, British Columbia",House only,"Index, 201612=100",98.6
113,1990-06,"Vancouver, British Columbia",House only,"Index, 201612=100",96.7
114,1990-07,"Vancouver, British Columbia",House only,"Index, 201612=100",96.9
115,1990-08,"Vancouver, British Columbia",House only,"Index, 201612=100",95.0
116,1990-09,"Vancouver, British Columbia",House only,"Index, 201612=100",93.3
117,1990-10,"Vancouver, British Columbia",House only,"Index, 201612=100",91.7
118,1990-11,"Vancouver, British Columbia",House only,"Index, 201612=100",90.6
119,1990-12,"Vancouver, British Columbia",House only,"Index, 201612=100",90.0
120,1991-01,"Vancouver, British Columbia",House only,"Index, 201612=100",89.6
121,1991-02,"Vancouver, British Columbia",House only,"Index, 201612=100",87.4
122,1991-03,"Vancouver, British Columbia",House only,"Index, 201612=100",88.6
123,1991-04,"Vancouver, British Columbia",House only,"Index, 201612=100",87.8
124,1991-05,"Vancouver, British Columbia",House only,"Index, 201612=100",87.8
125,1991-06,"Vancouver, British Columbia",House only,"Index, 201612=100",88.4
126,1991-07,"Vancouver, British Columbia",House only,"Index, 201612=100",89.2
127,1991-08,"Vancouver, British Columbia",House only,"Index, 201612=100",89.2
128,1991-09,"Vancouver, British Columbia",House only,"Index, 201612=100",89.4
129,1991-10,"Vancouver, British Columbia",House only,"Index, 201612=100",90.2
130,1991-11,"Vancouver, British Columbia",House only,"Index, 201612=100",90.6
131,1991-12,"Vancouver, British Columbia",House only,"Index, 201612=100",90.7
132,1992-01,"Vancouver, British Columbia",House only,"Index, 201612=100",91.0
133,1992-02,"Vancouver, British Columbia",House only,"Index, 201612=100",93.0
134,1992-03,"Vancouver, British Columbia",House only,"Index, 201612=100",92.8
135,1992-04,"Vancouver, British Columbia",House only,"Index, 201612=100",93.4
136,1992-05,"Vancouver, British Columbia",House only,"Index, 201612=100",93.9
137,1992-06,"Vancouver, British Columbia",House only,"Index, 201612=100",94.5
138,1992-07,"Vancouver, British Columbia",House only,"Index, 201612=100",94.6
139,1992-08,"Vancouver, British Columbia",House only,"Index, 201612=100",95.3
140,1992-09,"Vancouver, British Columbia",House only,"Index, 201612=100",95.7
141,1992-10,"Vancouver, British Columbia",House only,"Index, 201612=100",95.9
142,1992-11,"Vancouver, British Columbia",House only,"Index, 201612=100",96.2
143,1992-12,"Vancouver, British Columbia",House only,"Index, 201612=100",95.3
144,1993-01,"Vancouver, British Columbia",House only,"Index, 201612=100",95.0
145,1993-02,"Vancouver, British Columbia",House only,"Index, 201612=100",97.0
146,1993-03,"Vancouver, British Columbia",House only,"Index, 201612=100",96.7
