,REF_DATE,GEO,New housing price indexes,UOM,HPI_vancouver_bc
371,2011-12,"Vancouver, British Columbia",House only,"Index, 201612=100",94.4
372,2012-01,"Vancouver, British Columbia",House only,"Index, 201612=100",94.5
373,2012-02,"Vancouver, British Columbia",House only,"Index, 201612=100",94.2
374,2012-03,"Vancouver, British Columbia",House only,"Index, 201612=100",94.0
375,2012-04,"Vancouver, British Columbia",House only,"Index, 201612=100",93.9
376,2012-05,"Vancouver, British Columbia",House only,"Index, 201612=100",94.0
377,2012-06,"Vancouver, British Columbia",House only,"Index, 201612=100",94.1
378,2012-07,"Vancouver, British Columbia",House only,"Index, 201612=100",94.1
379,2012-08,"Vancouver, British Columbia",House only,"Index, 201612=100",94.0
380,2012-09,"Vancouver, British Columbia",House only,"Index, 201612=100",93.9
381,2012-10,"Vancouver, British Columbia",House only,"Index, 201612=100",94.1
382,2012-11,"Vancouver, British Columbia",House only,"Index, 201612=100",93.6
383,2012-12,"Vancouver, British Columbia",House only,"Index, 201612=100",93.1
384,2013-01,"Vancouver, British Columbia",House only,"Index, 201612=100",93.1
385,2013-02,"Vancouver, British Columbia",House only,"Index, 201612=100",93.1
386,2013-03,"Vancouver, British Columbia",House only,"Index, 201612=100",92.9
387,2013-04,"Vancouver, British Columbia",House only,"Index, 201612=100",93.0
388,2013-05,"Vancouver, British Columbia",House only,"Index, 201612=100",92.7
389,2013-06,"Vancouver, British Columbia",House only,"Index, 201612=100",92.3
390,2013-07,"Vancouver, British Columbia",House only,"Index, 201612=100",92.6
391,2013-08,"Vancouver, British Columbia",House only,"Index, 201612=100",92.2
392,2013-09,"Vancouver, British Columbia",House only,"Index, 201612=100",92.2
393,2013-10,"Vancouver, British Columbia",House only,"Index, 201612=100",91.9
394,2013-11,"Vancouver, British Columbia",House only,"Index, 201612=100",91.7
395,2013-12,"Vancouver, British Columbia",House only,"Index, 201612=100",91.5
396,2014-01,"Vancouver, British Columbia",House only,"Index, 201612=100",91.4
397,2014-02,"Vancouver, British Columbia",House only,"Index, 201612=100",91.4
398,2014-03,"Vancouver, British Columbia",House only,"Index, 201612=100",91.3
399,2014-04,"Vancouver, British Columbia",House only,"Index, 201612=100",90.8
400,2014-05,"Vancouver, British Columbia",House only,"Index, 201612=100",90.5
401,2014-06,"Vancouver, British Columbia",House only,"Index, 201612=100",90.3
402,2014-07,"Vancouver, British Columbia",House only,"Index, 201612=100",90.2
403,2014-08,"Vancouver, British Columbia",House only,"Index, 201612=100",90.5
404,2014-09,"Vancouver, British Columbia",House only,"Index, 201612=100",90.5
405,2014-10,"Vancouver, British Columbia",House only,"Index, 201612=100",91.0
406,2014-11,"Vancouver, British Columbia",House only,"Index, 201612=100",90.8
407,2014-12,"Vancouver, British Columbia",House only,"Index, 201612=100",90.7
408,2015-01,"Vancouver, British Columbia",House only,"Index, 201612=100",90.6
409,2015-02,"Vancouver, British Columbia",House only,"Index, 201612=100",90.7
410,2015-03,"Vancouver, British Columbia",House only,"Index, 201612=100",90.6
411,2015-04,"Vancouver, British Columbia",House only,"Index, 201612=100",91.5
412,2015-05,"Vancouver, British Columbia",House only,"Index, 201612=100",91.7
413,2015-06,"Vancouver, British Columbia",House only,"Index, 201612=100",92.1
414,2015-07,"Vancouver, British Columbia",House only,"Index, 201612=100",92.7
415,2015-08,"Vancouver, British Columbia",House only,"Index, 201612=100",92.8
416,2015-09,"Vancouver, British Columbia",House only,"Index, 201612=100",93.3
417,2015-10,"Vancouver, British Columbia",House only,"Index, 201612=100",93.7
418,2015-11,"Vancouver, British Columbia",House only,"Index, 201612=100",94.4
419,2015-12,"Vancouver, British Columbia",House only,"Index, 201612=100",94.6
420,2016-01,"Vancouver, British Columbia",House only,"Index, 201612=100",95.1
421,2016-02,"Vancouver, British Columbia",House only,"Index, 201612=100",96.4
422,2016-03,"Vancouver, British Columbia",House only,"Index, 201612=100",97.0
423,2016-04,"Vancouver, British Columbia",House only,"Index, 201612=100",97.3
424,2016-05,"Vancouver, British Columbia",House only,"Index, 201612=100",99.0
425,2016-06,"Vancouver, British Columbia",House only,"Index, 201612=100",99.3
426,2016-07,"Vancouver, British Columbia",House only,"Index, 201612=100",100.1
427,2016-08,"Vancouver, British Columbia",House only,"Index, 201612=100",100.1
428,2016-09,"Vancouver, British Columbia",House only,"Index, 201612=100",100.4
429,2016-10,"Vancouver, British Columbia",House only,"Index, 201612=100",100.4
430,2016-11,"Vancouver, British Columbia",House only,"Index, 201612=100",100.0
431,2016-12,"Vancouver, British Columbia",House only,"Index, 201612=100",100.0
432,2017-01,"Vancouver, British Columbia",House only,"Index, 201612=100",99.6
433,2017-02,"Vancouver, British Columbia",House only,"Index, 201612=100",99.4
434,2017-03,"Vancouver, British Columbia",House only,"Index, 201612=100",100.1
435,2017-04,"Vancouver, British Columbia",House only,"Index, 201612=100",100.9
436,2017-05,"Vancouver, British Columbia",House only,"Index, 201612=100",103.2
437,2017-06,"Vancouver, British Columbia",House only,"Index, 201612=100",105.7
438,2017-07,"Vancouver, British Columbia",House only,"Index, 201612=100",108.9
439,2017-08,"Vancouver, British Columbia",House only,"Index, 201612=100",108.9
440,2017-09,"Vancouver, British Columbia",House only,"Index, 201612=100",109.3
441,2017-10,"Vancouver, British Columbia",House only,"Index, 201612=100",109.8
442,2017-11,"Vancouver, British Columbia",House only,"Index, 201612=100",109.8
443,2017-12,"Vancouver, British Columbia",House only,"Index, 201612=100",109.9
444,2018-01,"Vancouver, British Columbia",House only,"Index, 201612=100",109.9
445,2018-02,"Vancouver, British Columbia",House only,"Index, 201612=100",109.9
446,2018-03,"Vancouver, British Columbia",House only,"Index, 201612=100",109.9
447,2018-04,"Vancouver, British Columbia",House only,"Index, 201612=100",109.9
448,2018-05,"Vancouver, British Columbia",House only,"Index, 201612=100",109.9
449,2018-06,"Vancouver, British Columbia",House only,"Index, 201612=100",110.2
450,2018-07,"Vancouver, British Columbia",House only,"Index, 201612=100",110.0
451,2018-08,"Vancouver, British Columbia",House only,"Index, 201612=100",109.4
452,2018-09,"Vancouver, British Columbia",House only,"Index, 201612=100",110.1
453,2018-10,"Vancouver, British Columbia",House only,"Index, 201612=100",110.1
454,2018-11,"Vancouver, British Columbia",House only,"Index, 201612=100",109.7
455,2018-12,"Vancouver, British Columbia",House only,"Index, 201612=100",109.4
456,2019-01,"Vancouver, British Columbia",House only,"Index, 201612=100",109.4
457,2019-02,"Vancouver, British Columbia",House only,"Index, 201612=100",108.8
458,2019-03,"Vancouver, British Columbia",House only,"Index, 201612=100",109.0
459,2019-04,"Vancouver, British Columbia",House only,"Index, 201612=100",108.5
460,2019-05,"Vancouver, British Columbia",House only,"Index, 201612=100",107.9
461,2019-06,"Vancouver, British Columbia",House only,"Index, 201612=100",107.7
462,2019-07,"Vancouver, British Columbia",House only,"Index, 201612=100",107.0
463,2019-08,"Vancouver, British Columbia",House only,"Index, 201612=100",107.0
464,2019-09,"Vancouver, British Columbia",House only,"Index, 201612=100",106.8
465,2019-10,"Vancouver, British Columbia",House only,"Index, 201612=100",106.2
466,2019-11,"Vancouver, British Columbia",House only,"Index, 201612=100",104.8
467,2019-12,"Vancouver, British Columbia",House only,"Index, 201612=100",105.1
468,2020-01,"Vancouver, British Columbia",House only,"Index, 201612=100",104.3
469,2020-02,"Vancouver, British Columbia",House only,"Index, 201612=100",104.6
470,2020-03,"Vancouver, British Columbia",House only,"Index, 201612=100",105.2
471,2020-04,"Vancouver, British Columbia",House only,"Index, 201612=100",105.2
472,2020-05,"Vancouver, British Columbia",House only,"Index, 201612=100",105.2
473,2020-06,"Vancouver, British Columbia",House only,"Index, 201612=100",105.2
474,2020-07,"Vancouver, British Columbia",House only,"Index, 201612=100",105.8
475,2020-08,"Vancouver, British Columbia",House only,"Index, 201612=100",107.3
476,2020-09,"Vancouver, British Columbia",House only,"Index, 201612=100",110.1
477,2020-10,"Vancouver, British Columbia",House only,"Index, 201612=100",112.3
478,2020-11,"Vancouver, British Columbia",House only,"Index, 201612=100",112.6
479,2020-12,"Vancouver, British Columbia",House only,"Index, 201612=100",112.4
480,2021-01,"Vancouver, British Columbia",House only,"Index, 201612=100",112.5
481,2021-02,"Vancouver, British Columbia",House only,"Index, 201612=100",116.0
482,2021-03,"Vancouver, British Columbia",House only,"Index, 201612=100",116.3
483,2021-04,"Vancouver, British Columbia",House only,"Index, 201612=100",114.8
484,2021-05,"Vancouver, British Columbia",House only,"Index, 201612=100",117.1
485,2021-06,"Vancouver, British Columbia",House only,"Index, 201612=100",118.0
486,2021-07,"Vancouver, British Columbia",House only,"Index, 201612=100",118.3
487,2021-08,"Vancouver, British Columbia",House only,"Index, 201612=100",119.3
488,2021-09,"Vancouver, British Columbia",House only,"Index, 201612=100",120.7
489,2021-10,"Vancouver, British Columbia",House only,"Index, 201612=100",122.0
490,2021-11,"Vancouver, British Columbia",House only,"Index, 201612=100",123.3
491,2021-12,"Vancouver, British Columbia",House only,"Index, 201612=100",123.6
492,2022-01,"Vancouver, British Columbia",House only,"Index, 201612=100",126.3
493,2022-02,"Vancouver, British Columbia",House only,"Index, 201612=100",126.7
494,2022-03,"Vancouver, British Columbia",House only,"Index, 201612=100",127.0
495,2022-04,"Vancouver, British Columbia",House only,"Index, 201612=100",127.2
496,2022-05,"Vancouver, British Columbia",House only,"Index, 201612=100",127.2
497,2022-06,"Vancouver, British Columbia",House only,"Index, 201612=100",127.2
498,2022-07,"Vancouver, British Columbia",House only,"Index, 201612=100",127.6
499,2022-08,"Vancouver, British Columbia",House only,"Index, 201612=100",127.6
500,2022-09,"Vancouver, British Columbia",House only,"Index, 201612=100",127.6
