,REF_DATE,GEO,New housing price indexes,UOM,HPI_ottawa_gatineau_qc
124,1991-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
125,1991-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
126,1991-07,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
127,1991-08,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
128,1991-09,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
129,1991-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
130,1991-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
131,1991-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
132,1992-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
133,1992-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
134,1992-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
135,1992-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
136,1992-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
137,1992-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
138,1992-07,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
139,1992-08,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
140,1992-09,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
141,1992-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
142,1992-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
143,1992-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
144,1993-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
145,1993-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
146,1993-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
147,1993-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
148,1993-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
149,1993-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
