,REF_DATE,GEO,New housing price indexes,UOM,HPI_charlottetown_pei
51,1985-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
52,1985-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
53,1985-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
54,1985-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
55,1985-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
56,1985-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
57,1985-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
58,1985-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
59,1985-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
60,1986-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
61,1986-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
62,1986-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
63,1986-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
64,1986-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
65,1986-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
66,1986-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
67,1986-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
68,1986-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
69,1986-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
70,1986-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
71,1986-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
72,1987-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
73,1987-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
74,1987-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
75,1987-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
76,1987-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
77,1987-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
78,1987-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
79,1987-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
80,1987-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
81,1987-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
82,1987-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
83,1987-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
84,1988-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
85,1988-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
86,1988-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
87,1988-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
88,1988-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
89,1988-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
90,1988-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
91,1988-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
92,1988-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
93,1988-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
94,1988-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
95,1988-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
96,1989-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
97,1989-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
98,1989-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
99,1989-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
100,1989-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
101,1989-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
102,1989-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
