,REF_DATE,GEO,New housing price indexes,UOM,HPI_prairie_region
179,1995-12,Prairie Region,House only,"Index, 201612=100",39.5
180,1996-01,Prairie Region,House only,"Index, 201612=100",39.5
181,1996-02,Prairie Region,House only,"Index, 201612=100",39.5
182,1996-03,Prairie Region,House only,"Index, 201612=100",39.5
183,1996-04,Prairie Region,House only,"Index, 201612=100",39.5
184,1996-05,Prairie Region,House only,"Index, 201612=100",39.5
185,1996-06,Prairie Region,House only,"Index, 201612=100",39.7
186,1996-07,Prairie Region,House only,"Index, 201612=100",39.8
187,1996-08,Prairie Region,House only,"Index, 201612=100",39.8
188,1996-09,Prairie Region,House only,"Index, 201612=100",40.0
189,1996-10,Prairie Region,House only,"Index, 201612=100",40.1
190,1996-11,Prairie Region,House only,"Index, 201612=100",40.4
191,1996-12,Prairie Region,House only,"Index, 201612=100",40.9
192,1997-01,Prairie Region,House only,"Index, 201612=100",41.0
193,1997-02,Prairie Region,House only,"Index, 201612=100",41.2
194,1997-03,Prairie Region,House only,"Index, 201612=100",41.4
195,1997-04,Prairie Region,House only,"Index, 201612=100",41.5
196,1997-05,Prairie Region,House only,"Index, 201612=100",41.6
197,1997-06,Prairie Region,House only,"Index, 201612=100",41.9
198,1997-07,Prairie Region,House only,"Index, 201612=100",41.9
199,1997-08,Prairie Region,House only,"Index, 201612=100",42.1
200,1997-09,Prairie Region,House only,"Index, 201612=100",42.2
201,1997-10,Prairie Region,House only,"Index, 201612=100",42.6
202,1997-11,Prairie Region,House only,"Index, 201612=100",42.8
203,1997-12,Prairie Region,House only,"Index, 201612=100",43.1
204,1998-01,Prairie Region,House only,"Index, 201612=100",43.8
205,1998-02,Prairie Region,House only,"Index, 201612=100",44.0
206,1998-03,Prairie Region,House only,"Index, 201612=100",44.2
207,1998-04,Prairie Region,House only,"Index, 201612=100",44.4
208,1998-05,Prairie Region,House only,"Index, 201612=100",44.6
209,1998-06,Prairie Region,House only,"Index, 201612=100",44.8
210,1998-07,Prairie Region,House only,"Index, 201612=100",45.0
211,1998-08,Prairie Region,House only,"Index, 201612=100",45.1
212,1998-09,Prairie Region,House only,"Index, 201612=100",45.2
213,1998-10,Prairie Region,House only,"Index, 201612=100",45.3
214,1998-11,Prairie Region,House only,"Index, 201612=100",45.3
215,1998-12,Prairie Region,House only,"Index, 201612=100",45.5
216,1999-01,Prairie Region,House only,"Index, 201612=100",45.7
217,1999-02,Prairie Region,House only,"Index, 201612=100",45.8
218,1999-03,Prairie Region,House only,"Index, 201612=100",46.1
219,1999-04,Prairie Region,House only,"Index, 201612=100",46.1
220,1999-05,Prairie Region,House only,"Index, 201612=100",46.2
221,1999-06,Prairie Region,House only,"Index, 201612=100",46.3
222,1999-07,Prairie Region,House only,"Index, 201612=100",46.4
223,1999-08,Prairie Region,House only,"Index, 201612=100",46.8
224,1999-09,Prairie Region,House only,"Index, 201612=100",47.0
225,1999-10,Prairie Region,House only,"Index, 201612=100",47.1
226,1999-11,Prairie Region,House only,"Index, 201612=100",47.2
227,1999-12,Prairie Region,House only,"Index, 201612=100",47.3
228,2000-01,Prairie Region,House only,"Index, 201612=100",47.3
229,2000-02,Prairie Region,House only,"Index, 201612=100",47.4
230,2000-03,Prairie Region,House only,"Index, 201612=100",47.5
231,2000-04,Prairie Region,House only,"Index, 201612=100",47.5
232,2000-05,Prairie Region,House only,"Index, 201612=100",47.8
233,2000-06,Prairie Region,House only,"Index, 201612=100",47.7
234,2000-07,Prairie Region,House only,"Index, 201612=100",47.9
235,2000-08,Prairie Region,House only,"Index, 201612=100",47.9
236,2000-09,Prairie Region,House only,"Index, 201612=100",47.8
237,2000-10,Prairie Region,House only,"Index, 201612=100",47.9
238,2000-11,Prairie Region,House only,"Index, 201612=100",47.9
239,2000-12,Prairie Region,House only,"Index, 201612=100",47.9
240,2001-01,Prairie Region,House only,"Index, 201612=100",48.0
241,2001-02,Prairie Region,House only,"Index, 201612=100",48.1
242,2001-03,Prairie Region,House only,"Index, 201612=100",48.2
243,2001-04,Prairie Region,House only,"Index, 201612=100",48.3
244,2001-05,Prairie Region,House only,"Index, 201612=100",48.3
245,2001-06,Prairie Region,House only,"Index, 201612=100",48.7
246,2001-07,Prairie Region,House only,"Index, 201612=100",48.9
247,2001-08,Prairie Region,House only,"Index, 201612=100",48.9
248,2001-09,Prairie Region,House only,"Index, 201612=100",49.0
249,2001-10,Prairie Region,House only,"Index, 201612=100",49.1
250,2001-11,Prairie Region,House only,"Index, 201612=100",49.4
251,2001-12,Prairie Region,House only,"Index, 201612=100",49.6
252,2002-01,Prairie Region,House only,"Index, 201612=100",49.8
253,2002-02,Prairie Region,House only,"Index, 201612=100",50.3
254,2002-03,Prairie Region,House only,"Index, 201612=100",50.9
255,2002-04,Prairie Region,House only,"Index, 201612=100",51.2
256,2002-05,Prairie Region,House only,"Index, 201612=100",51.6
257,2002-06,Prairie Region,House only,"Index, 201612=100",52.0
258,2002-07,Prairie Region,House only,"Index, 201612=100",52.2
259,2002-08,Prairie Region,House only,"Index, 201612=100",52.4
260,2002-09,Prairie Region,House only,"Index, 201612=100",52.6
261,2002-10,Prairie Region,House only,"Index, 201612=100",52.7
262,2002-11,Prairie Region,House only,"Index, 201612=100",53.1
263,2002-12,Prairie Region,House only,"Index, 201612=100",53.4
264,2003-01,Prairie Region,House only,"Index, 201612=100",53.6
265,2003-02,Prairie Region,House only,"Index, 201612=100",53.9
266,2003-03,Prairie Region,House only,"Index, 201612=100",54.1
267,2003-04,Prairie Region,House only,"Index, 201612=100",54.3
268,2003-05,Prairie Region,House only,"Index, 201612=100",54.3
269,2003-06,Prairie Region,House only,"Index, 201612=100",54.6
270,2003-07,Prairie Region,House only,"Index, 201612=100",54.7
