,REF_DATE,GEO,New housing price indexes,UOM,HPI_prairie_region
451,2018-08,Prairie Region,House only,"Index, 201612=100",99.4
452,2018-09,Prairie Region,House only,"Index, 201612=100",99.2
453,2018-10,Prairie Region,House only,"Index, 201612=100",99.2
454,2018-11,Prairie Region,House only,"Index, 201612=100",99.1
455,2018-12,Prairie Region,House only,"Index, 201612=100",99.2
456,2019-01,Prairie Region,House only,"Index, 201612=100",99.1
457,2019-02,Prairie Region,House only,"Index, 201612=100",99.0
458,2019-03,Prairie Region,House only,"Index, 201612=100",98.9
459,2019-04,Prairie Region,House only,"Index, 201612=100",98.4
460,2019-05,Prairie Region,House only,"Index, 201612=100",98.2
461,2019-06,Prairie Region,House only,"Index, 201612=100",97.5
462,2019-07,Prairie Region,House only,"Index, 201612=100",97.2
463,2019-08,Prairie Region,House only,"Index, 201612=100",97.2
464,2019-09,Prairie Region,House only,"Index, 201612=100",97.3
465,2019-10,Prairie Region,House only,"Index, 201612=100",97.0
466,2019-11,Prairie Region,House only,"Index, 201612=100",96.3
467,2019-12,Prairie Region,House only,"Index, 201612=100",96.6
468,2020-01,Prairie Region,House only,"Index, 201612=100",96.4
469,2020-02,Prairie Region,House only,"Index, 201612=100",96.6
470,2020-03,Prairie Region,House only,"Index, 201612=100",96.4
471,2020-04,Prairie Region,House only,"Index, 201612=100",96.2
472,2020-05,Prairie Region,House only,"Index, 201612=100",96.2
473,2020-06,Prairie Region,House only,"Index, 201612=100",96.2
474,2020-07,Prairie Region,House only,"Index, 201612=100",95.8
475,2020-08,Prairie Region,House only,"Index, 201612=100",95.8
476,2020-09,Prairie Region,House only,"Index, 201612=100",96.5
477,2020-10,Prairie Region,House only,"Index, 201612=100",96.9
478,2020-11,Prairie Region,House only,"Index, 201612=100",97.5
479,2020-12,Prairie Region,House only,"Index, 201612=100",97.4
480,2021-01,Prairie Region,House only,"Index, 201612=100",97.8
481,2021-02,Prairie Region,House only,"Index, 201612=100",99.1
482,2021-03,Prairie Region,House only,"Index, 201612=100",100.3
483,2021-04,Prairie Region,House only,"Index, 201612=100",102.8
484,2021-05,Prairie Region,House only,"Index, 201612=100",106.8
485,2021-06,Prairie Region,House only,"Index, 201612=100",109.8
486,2021-07,Prairie Region,House only,"Index, 201612=100",110.4
487,2021-08,Prairie Region,House only,"Index, 201612=100",110.3
488,2021-09,Prairie Region,House only,"Index, 201612=100",110.2
489,2021-10,Prairie Region,House only,"Index, 201612=100",110.6
490,2021-11,Prairie Region,House only,"Index, 201612=100",110.8
491,2021-12,Prairie Region,House only,"Index, 201612=100",111.7
492,2022-01,Prairie Region,House only,"Index, 201612=100",114.1
493,2022-02,Prairie Region,House only,"Index, 201612=100",118.4
494,2022-03,Prairie Region,House only,"Index, 201612=100",122.6
495,2022-04,Prairie Region,House only,"Index, 201612=100",124.3
496,2022-05,Prairie Region,House only,"Index, 201612=100",126.1
497,2022-06,Prairie Region,House only,"Index, 201612=100",126.2
498,2022-07,Prairie Region,House only,"Index, 201612=100",125.9
499,2022-08,Prairie Region,House only,"Index, 201612=100",126.5
500,2022-09,Prairie Region,House only,"Index, 201612=100",126.4
