,REF_DATE,GEO,New housing price indexes,UOM,HPI_quebec_qc
93,1988-10,"Québec, Quebec",House only,"Index, 201612=100",56.6
94,1988-11,"Québec, Quebec",House only,"Index, 201612=100",57.0
95,1988-12,"Québec, Quebec",House only,"Index, 201612=100",57.4
96,1989-01,"Québec, Quebec",House only,"Index, 201612=100",57.6
97,1989-02,"Québec, Quebec",House only,"Index, 201612=100",58.2
98,1989-03,"Québec, Quebec",House only,"Index, 201612=100",58.7
99,1989-04,"Québec, Quebec",House only,"Index, 201612=100",58.7
100,1989-05,"Québec, Quebec",House only,"Index, 201612=100",59.6
101,1989-06,"Québec, Quebec",House only,"Index, 201612=100",59.6
102,1989-07,"Québec, Quebec",House only,"Index, 201612=100",59.6
103,1989-08,"Québec, Quebec",House only,"Index, 201612=100",59.7
104,1989-09,"Québec, Quebec",House only,"Index, 201612=100",59.7
105,1989-10,"Québec, Quebec",House only,"Index, 201612=100",60.0
106,1989-11,"Québec, Quebec",House only,"Index, 201612=100",60.4
107,1989-12,"Québec, Quebec",House only,"Index, 201612=100",60.5
108,1990-01,"Québec, Quebec",House only,"Index, 201612=100",60.5
109,1990-02,"Québec, Quebec",House only,"Index, 201612=100",60.6
110,1990-03,"Québec, Quebec",House only,"Index, 201612=100",60.9
111,1990-04,"Québec, Quebec",House only,"Index, 201612=100",60.9
112,1990-05,"Québec, Quebec",House only,"Index, 201612=100",60.9
113,1990-06,"Québec, Quebec",House only,"Index, 201612=100",61.0
114,1990-07,"Québec, Quebec",House only,"Index, 201612=100",61.3
115,1990-08,"Québec, Quebec",House only,"Index, 201612=100",61.7
116,1990-09,"Québec, Quebec",House only,"Index, 201612=100",61.8
117,1990-10,"Québec, Quebec",House only,"Index, 201612=100",61.9
118,1990-11,"Québec, Quebec",House only,"Index, 201612=100",62.1
119,1990-12,"Québec, Quebec",House only,"Index, 201612=100",62.1
120,1991-01,"Québec, Quebec",House only,"Index, 201612=100",61.9
121,1991-02,"Québec, Quebec",House only,"Index, 201612=100",63.5
122,1991-03,"Québec, Quebec",House only,"Index, 201612=100",63.3
123,1991-04,"Québec, Quebec",House only,"Index, 201612=100",62.3
124,1991-05,"Québec, Quebec",House only,"Index, 201612=100",62.3
125,1991-06,"Québec, Quebec",House only,"Index, 201612=100",62.5
126,1991-07,"Québec, Quebec",House only,"Index, 201612=100",62.5
127,1991-08,"Québec, Quebec",House only,"Index, 201612=100",62.5
128,1991-09,"Québec, Quebec",House only,"Index, 201612=100",62.5
129,1991-10,"Québec, Quebec",House only,"Index, 201612=100",62.3
130,1991-11,"Québec, Quebec",House only,"Index, 201612=100",62.3
