,REF_DATE,GEO,New housing price indexes,UOM,HPI_quebec_qc
400,2014-05,"Québec, Quebec",House only,"Index, 201612=100",101.3
401,2014-06,"Québec, Quebec",House only,"Index, 201612=100",101.4
402,2014-07,"Québec, Quebec",House only,"Index, 201612=100",101.4
403,2014-08,"Québec, Quebec",House only,"Index, 201612=100",101.4
404,2014-09,"Québec, Quebec",House only,"Index, 201612=100",101.4
405,2014-10,"Québec, Quebec",House only,"Index, 201612=100",101.4
406,2014-11,"Québec, Quebec",House only,"Index, 201612=100",101.6
407,2014-12,"Québec, Quebec",House only,"Index, 201612=100",101.6
408,2015-01,"Québec, Quebec",House only,"Index, 201612=100",101.6
409,2015-02,"Québec, Quebec",House only,"Index, 201612=100",101.4
410,2015-03,"Québec, Quebec",House only,"Index, 201612=100",101.5
411,2015-04,"Québec, Quebec",House only,"Index, 201612=100",101.5
412,2015-05,"Québec, Quebec",House only,"Index, 201612=100",100.2
413,2015-06,"Québec, Quebec",House only,"Index, 201612=100",100.5
414,2015-07,"Québec, Quebec",House only,"Index, 201612=100",100.5
415,2015-08,"Québec, Quebec",House only,"Index, 201612=100",100.2
416,2015-09,"Québec, Quebec",House only,"Index, 201612=100",100.2
417,2015-10,"Québec, Quebec",House only,"Index, 201612=100",100.2
418,2015-11,"Québec, Quebec",House only,"Index, 201612=100",99.9
419,2015-12,"Québec, Quebec",House only,"Index, 201612=100",99.9
420,2016-01,"Québec, Quebec",House only,"Index, 201612=100",99.9
421,2016-02,"Québec, Quebec",House only,"Index, 201612=100",99.9
422,2016-03,"Québec, Quebec",House only,"Index, 201612=100",99.9
423,2016-04,"Québec, Quebec",House only,"Index, 201612=100",99.9
424,2016-05,"Québec, Quebec",House only,"Index, 201612=100",99.9
425,2016-06,"Québec, Quebec",House only,"Index, 201612=100",99.9
426,2016-07,"Québec, Quebec",House only,"Index, 201612=100",100.1
427,2016-08,"Québec, Quebec",House only,"Index, 201612=100",100.1
428,2016-09,"Québec, Quebec",House only,"Index, 201612=100",100.0
429,2016-10,"Québec, Quebec",House only,"Index, 201612=100",100.1
430,2016-11,"Québec, Quebec",House only,"Index, 201612=100",100.1
431,2016-12,"Québec, Quebec",House only,"Index, 201612=100",100.0
432,2017-01,"Québec, Quebec",House only,"Index, 201612=100",100.2
433,2017-02,"Québec, Quebec",House only,"Index, 201612=100",100.2
434,2017-03,"Québec, Quebec",House only,"Index, 201612=100",99.9
435,2017-04,"Québec, Quebec",House only,"Index, 201612=100",100.0
436,2017-05,"Québec, Quebec",House only,"Index, 201612=100",100.1
437,2017-06,"Québec, Quebec",House only,"Index, 201612=100",100.4
438,2017-07,"Québec, Quebec",House only,"Index, 201612=100",100.4
439,2017-08,"Québec, Quebec",House only,"Index, 201612=100",100.4
440,2017-09,"Québec, Quebec",House only,"Index, 201612=100",100.4
441,2017-10,"Québec, Quebec",House only,"Index, 201612=100",100.4
442,2017-11,"Québec, Quebec",House only,"Index, 201612=100",100.5
443,2017-12,"Québec, Quebec",House only,"Index, 201612=100",100.5
444,2018-01,"Québec, Quebec",House only,"Index, 201612=100",100.5
445,2018-02,"Québec, Quebec",House only,"Index, 201612=100",100.5
446,2018-03,"Québec, Quebec",House only,"Index, 201612=100",100.5
447,2018-04,"Québec, Quebec",House only,"Index, 201612=100",100.4
448,2018-05,"Québec, Quebec",House only,"Index, 201612=100",100.4
449,2018-06,"Québec, Quebec",House only,"Index, 201612=100",100.4
450,2018-07,"Québec, Quebec",House only,"Index, 201612=100",100.5
451,2018-08,"Québec, Quebec",House only,"Index, 201612=100",100.5
452,2018-09,"Québec, Quebec",House only,"Index, 201612=100",100.5
453,2018-10,"Québec, Quebec",House only,"Index, 201612=100",100.5
454,2018-11,"Québec, Quebec",House only,"Index, 201612=100",100.5
455,2018-12,"Québec, Quebec",House only,"Index, 201612=100",100.5
456,2019-01,"Québec, Quebec",House only,"Index, 201612=100",100.5
457,2019-02,"Québec, Quebec",House only,"Index, 201612=100",100.5
458,2019-03,"Québec, Quebec",House only,"Index, 201612=100",100.5
459,2019-04,"Québec, Quebec",House only,"Index, 201612=100",100.5
460,2019-05,"Québec, Quebec",House only,"Index, 201612=100",100.5
461,2019-06,"Québec, Quebec",House only,"Index, 201612=100",100.3
462,2019-07,"Québec, Quebec",House only,"Index, 201612=100",100.3
463,2019-08,"Québec, Quebec",House only,"Index, 201612=100",100.2
464,2019-09,"Québec, Quebec",House only,"Index, 201612=100",100.2
465,2019-10,"Québec, Quebec",House only,"Index, 201612=100",100.2
466,2019-11,"Québec, Quebec",House only,"Index, 201612=100",100.5
467,2019-12,"Québec, Quebec",House only,"Index, 201612=100",100.6
468,2020-01,"Québec, Quebec",House only,"Index, 201612=100",100.6
469,2020-02,"Québec, Quebec",House only,"Index, 201612=100",100.6
470,2020-03,"Québec, Quebec",House only,"Index, 201612=100",100.6
471,2020-04,"Québec, Quebec",House only,"Index, 201612=100",100.6
472,2020-05,"Québec, Quebec",House only,"Index, 201612=100",100.5
473,2020-06,"Québec, Quebec",House only,"Index, 201612=100",100.6
474,2020-07,"Québec, Quebec",House only,"Index, 201612=100",100.8
475,2020-08,"Québec, Quebec",House only,"Index, 201612=100",102.4
476,2020-09,"Québec, Quebec",House only,"Index, 201612=100",103.3
477,2020-10,"Québec, Quebec",House only,"Index, 201612=100",103.8
478,2020-11,"Québec, Quebec",House only,"Index, 201612=100",105.6
479,2020-12,"Québec, Quebec",House only,"Index, 201612=100",107.1
480,2021-01,"Québec, Quebec",House only,"Index, 201612=100",110.5
481,2021-02,"Québec, Quebec",House only,"Index, 201612=100",114.7
482,2021-03,"Québec, Quebec",House only,"Index, 201612=100",119.2
483,2021-04,"Québec, Quebec",House only,"Index, 201612=100",119.3
484,2021-05,"Québec, Quebec",House only,"Index, 201612=100",119.4
485,2021-06,"Québec, Quebec",House only,"Index, 201612=100",119.4
486,2021-07,"Québec, Quebec",House only,"Index, 201612=100",119.4
487,2021-08,"Québec, Quebec",House only,"Index, 201612=100",119.4
488,2021-09,"Québec, Quebec",House only,"Index, 201612=100",121.5
489,2021-10,"Québec, Quebec",House only,"Index, 201612=100",121.8
490,2021-11,"Québec, Quebec",House only,"Index, 201612=100",122.4
491,2021-12,"Québec, Quebec",House only,"Index, 201612=100",123.2
492,2022-01,"Québec, Quebec",House only,"Index, 201612=100",125.2
493,2022-02,"Québec, Quebec",House only,"Index, 201612=100",130.6
494,2022-03,"Québec, Quebec",House only,"Index, 201612=100",131.3
495,2022-04,"Québec, Quebec",House only,"Index, 201612=100",131.3
496,2022-05,"Québec, Quebec",House only,"Index, 201612=100",132.6
497,2022-06,"Québec, Quebec",House only,"Index, 201612=100",133.3
498,2022-07,"Québec, Quebec",House only,"Index, 201612=100",133.3
499,2022-08,"Québec, Quebec",House only,"Index, 201612=100",133.3
500,2022-09,"Québec, Quebec",House only,"Index, 201612=100",133.3
