,REF_DATE,GEO,New housing price indexes,UOM,HPI_guelph_ont
44,1984-09,"Guelph, Ontario",House only,"Index, 201612=100",
45,1984-10,"Guelph, Ontario",House only,"Index, 201612=100",
46,1984-11,"Guelph, Ontario",House only,"Index, 201612=100",
47,1984-12,"Guelph, Ontario",House only,"Index, 201612=100",
48,1985-01,"Guelph, Ontario",House only,"Index, 201612=100",
49,1985-02,"Guelph, Ontario",House only,"Index, 201612=100",
50,1985-03,"Guelph, Ontario",House only,"Index, 201612=100",
51,1985-04,"Guelph, Ontario",House only,"Index, 201612=100",
52,1985-05,"Guelph, Ontario",House only,"Index, 201612=100",
53,1985-06,"Guelph, Ontario",House only,"Index, 201612=100",
54,1985-07,"Guelph, Ontario",House only,"Index, 201612=100",
55,1985-08,"Guelph, Ontario",House only,"Index, 201612=100",
56,1985-09,"Guelph, Ontario",House only,"Index, 201612=100",
57,1985-10,"Guelph, Ontario",House only,"Index, 201612=100",
58,1985-11,"Guelph, Ontario",House only,"Index, 201612=100",
59,1985-12,"Guelph, Ontario",House only,"Index, 201612=100",
60,1986-01,"Guelph, Ontario",House only,"Index, 201612=100",
61,1986-02,"Guelph, Ontario",House only,"Index, 201612=100",
62,1986-03,"Guelph, Ontario",House only,"Index, 201612=100",
63,1986-04,"Guelph, Ontario",House only,"Index, 201612=100",
64,1986-05,"Guelph, Ontario",House only,"Index, 201612=100",
65,1986-06,"Guelph, Ontario",House only,"Index, 201612=100",
66,1986-07,"Guelph, Ontario",House only,"Index, 201612=100",
67,1986-08,"Guelph, Ontario",House only,"Index, 201612=100",
68,1986-09,"Guelph, Ontario",House only,"Index, 201612=100",
69,1986-10,"Guelph, Ontario",House only,"Index, 201612=100",
70,1986-11,"Guelph, Ontario",House only,"Index, 201612=100",
71,1986-12,"Guelph, Ontario",House only,"Index, 201612=100",
72,1987-01,"Guelph, Ontario",House only,"Index, 201612=100",
73,1987-02,"Guelph, Ontario",House only,"Index, 201612=100",
74,1987-03,"Guelph, Ontario",House only,"Index, 201612=100",
75,1987-04,"Guelph, Ontario",House only,"Index, 201612=100",
76,1987-05,"Guelph, Ontario",House only,"Index, 201612=100",
77,1987-06,"Guelph, Ontario",House only,"Index, 201612=100",
78,1987-07,"Guelph, Ontario",House only,"Index, 201612=100",
79,1987-08,"Guelph, Ontario",House only,"Index, 201612=100",
80,1987-09,"Guelph, Ontario",House only,"Index, 201612=100",
81,1987-10,"Guelph, Ontario",House only,"Index, 201612=100",
