,REF_DATE,GEO,New housing price indexes,UOM,HPI_edmonton_alb
384,2013-01,"Edmonton, Alberta",House only,"Index, 201612=100",100.7
385,2013-02,"Edmonton, Alberta",House only,"Index, 201612=100",100.7
386,2013-03,"Edmonton, Alberta",House only,"Index, 201612=100",100.7
387,2013-04,"Edmonton, Alberta",House only,"Index, 201612=100",100.9
388,2013-05,"Edmonton, Alberta",House only,"Index, 201612=100",100.6
389,2013-06,"Edmonton, Alberta",House only,"Index, 201612=100",101.0
390,2013-07,"Edmonton, Alberta",House only,"Index, 201612=100",100.9
391,2013-08,"Edmonton, Alberta",House only,"Index, 201612=100",101.1
392,2013-09,"Edmonton, Alberta",House only,"Index, 201612=100",100.6
393,2013-10,"Edmonton, Alberta",House only,"Index, 201612=100",100.7
394,2013-11,"Edmonton, Alberta",House only,"Index, 201612=100",100.4
395,2013-12,"Edmonton, Alberta",House only,"Index, 201612=100",100.4
396,2014-01,"Edmonton, Alberta",House only,"Index, 201612=100",100.2
397,2014-02,"Edmonton, Alberta",House only,"Index, 201612=100",100.4
398,2014-03,"Edmonton, Alberta",House only,"Index, 201612=100",100.5
399,2014-04,"Edmonton, Alberta",House only,"Index, 201612=100",100.2
400,2014-05,"Edmonton, Alberta",House only,"Index, 201612=100",100.6
401,2014-06,"Edmonton, Alberta",House only,"Index, 201612=100",100.7
402,2014-07,"Edmonton, Alberta",House only,"Index, 201612=100",100.7
403,2014-08,"Edmonton, Alberta",House only,"Index, 201612=100",100.9
404,2014-09,"Edmonton, Alberta",House only,"Index, 201612=100",101.0
405,2014-10,"Edmonton, Alberta",House only,"Index, 201612=100",101.0
406,2014-11,"Edmonton, Alberta",House only,"Index, 201612=100",101.1
407,2014-12,"Edmonton, Alberta",House only,"Index, 201612=100",101.0
408,2015-01,"Edmonton, Alberta",House only,"Index, 201612=100",100.8
409,2015-02,"Edmonton, Alberta",House only,"Index, 201612=100",100.9
410,2015-03,"Edmonton, Alberta",House only,"Index, 201612=100",100.8
411,2015-04,"Edmonton, Alberta",House only,"Index, 201612=100",100.8
412,2015-05,"Edmonton, Alberta",House only,"Index, 201612=100",100.9
413,2015-06,"Edmonton, Alberta",House only,"Index, 201612=100",100.8
414,2015-07,"Edmonton, Alberta",House only,"Index, 201612=100",100.7
415,2015-08,"Edmonton, Alberta",House only,"Index, 201612=100",100.7
416,2015-09,"Edmonton, Alberta",House only,"Index, 201612=100",100.7
417,2015-10,"Edmonton, Alberta",House only,"Index, 201612=100",101.3
418,2015-11,"Edmonton, Alberta",House only,"Index, 201612=100",101.2
419,2015-12,"Edmonton, Alberta",House only,"Index, 201612=100",101.2
420,2016-01,"Edmonton, Alberta",House only,"Index, 201612=100",101.1
421,2016-02,"Edmonton, Alberta",House only,"Index, 201612=100",101.0
422,2016-03,"Edmonton, Alberta",House only,"Index, 201612=100",101.0
423,2016-04,"Edmonton, Alberta",House only,"Index, 201612=100",101.0
424,2016-05,"Edmonton, Alberta",House only,"Index, 201612=100",101.0
425,2016-06,"Edmonton, Alberta",House only,"Index, 201612=100",100.4
426,2016-07,"Edmonton, Alberta",House only,"Index, 201612=100",100.5
427,2016-08,"Edmonton, Alberta",House only,"Index, 201612=100",100.3
428,2016-09,"Edmonton, Alberta",House only,"Index, 201612=100",99.9
429,2016-10,"Edmonton, Alberta",House only,"Index, 201612=100",100.0
430,2016-11,"Edmonton, Alberta",House only,"Index, 201612=100",99.8
431,2016-12,"Edmonton, Alberta",House only,"Index, 201612=100",100.0
432,2017-01,"Edmonton, Alberta",House only,"Index, 201612=100",100.0
433,2017-02,"Edmonton, Alberta",House only,"Index, 201612=100",100.4
434,2017-03,"Edmonton, Alberta",House only,"Index, 201612=100",100.6
435,2017-04,"Edmonton, Alberta",House only,"Index, 201612=100",100.2
436,2017-05,"Edmonton, Alberta",House only,"Index, 201612=100",100.2
437,2017-06,"Edmonton, Alberta",House only,"Index, 201612=100",99.8
438,2017-07,"Edmonton, Alberta",House only,"Index, 201612=100",99.8
439,2017-08,"Edmonton, Alberta",House only,"Index, 201612=100",99.9
440,2017-09,"Edmonton, Alberta",House only,"Index, 201612=100",99.7
441,2017-10,"Edmonton, Alberta",House only,"Index, 201612=100",99.7
442,2017-11,"Edmonton, Alberta",House only,"Index, 201612=100",99.9
443,2017-12,"Edmonton, Alberta",House only,"Index, 201612=100",99.9
444,2018-01,"Edmonton, Alberta",House only,"Index, 201612=100",99.7
445,2018-02,"Edmonton, Alberta",House only,"Index, 201612=100",99.4
446,2018-03,"Edmonton, Alberta",House only,"Index, 201612=100",99.4
447,2018-04,"Edmonton, Alberta",House only,"Index, 201612=100",99.3
448,2018-05,"Edmonton, Alberta",House only,"Index, 201612=100",99.3
449,2018-06,"Edmonton, Alberta",House only,"Index, 201612=100",99.4
450,2018-07,"Edmonton, Alberta",House only,"Index, 201612=100",99.5
451,2018-08,"Edmonton, Alberta",House only,"Index, 201612=100",98.8
452,2018-09,"Edmonton, Alberta",House only,"Index, 201612=100",98.8
453,2018-10,"Edmonton, Alberta",House only,"Index, 201612=100",99.0
454,2018-11,"Edmonton, Alberta",House only,"Index, 201612=100",98.8
455,2018-12,"Edmonton, Alberta",House only,"Index, 201612=100",98.9
456,2019-01,"Edmonton, Alberta",House only,"Index, 201612=100",98.7
457,2019-02,"Edmonton, Alberta",House only,"Index, 201612=100",98.6
458,2019-03,"Edmonton, Alberta",House only,"Index, 201612=100",98.3
459,2019-04,"Edmonton, Alberta",House only,"Index, 201612=100",98.2
460,2019-05,"Edmonton, Alberta",House only,"Index, 201612=100",97.8
461,2019-06,"Edmonton, Alberta",House only,"Index, 201612=100",97.6
462,2019-07,"Edmonton, Alberta",House only,"Index, 201612=100",96.8
463,2019-08,"Edmonton, Alberta",House only,"Index, 201612=100",96.9
464,2019-09,"Edmonton, Alberta",House only,"Index, 201612=100",97.0
465,2019-10,"Edmonton, Alberta",House only,"Index, 201612=100",96.7
466,2019-11,"Edmonton, Alberta",House only,"Index, 201612=100",95.1
467,2019-12,"Edmonton, Alberta",House only,"Index, 201612=100",95.7
468,2020-01,"Edmonton, Alberta",House only,"Index, 201612=100",96.1
469,2020-02,"Edmonton, Alberta",House only,"Index, 201612=100",96.0
470,2020-03,"Edmonton, Alberta",House only,"Index, 201612=100",96.4
471,2020-04,"Edmonton, Alberta",House only,"Index, 201612=100",96.0
472,2020-05,"Edmonton, Alberta",House only,"Index, 201612=100",96.0
473,2020-06,"Edmonton, Alberta",House only,"Index, 201612=100",96.0
474,2020-07,"Edmonton, Alberta",House only,"Index, 201612=100",95.7
475,2020-08,"Edmonton, Alberta",House only,"Index, 201612=100",95.6
476,2020-09,"Edmonton, Alberta",House only,"Index, 201612=100",96.0
477,2020-10,"Edmonton, Alberta",House only,"Index, 201612=100",96.5
478,2020-11,"Edmonton, Alberta",House only,"Index, 201612=100",97.2
479,2020-12,"Edmonton, Alberta",House only,"Index, 201612=100",96.9
480,2021-01,"Edmonton, Alberta",House only,"Index, 201612=100",97.0
481,2021-02,"Edmonton, Alberta",House only,"Index, 201612=100",98.2
482,2021-03,"Edmonton, Alberta",House only,"Index, 201612=100",99.4
483,2021-04,"Edmonton, Alberta",House only,"Index, 201612=100",100.1
484,2021-05,"Edmonton, Alberta",House only,"Index, 201612=100",103.2
485,2021-06,"Edmonton, Alberta",House only,"Index, 201612=100",104.0
486,2021-07,"Edmonton, Alberta",House only,"Index, 201612=100",105.1
487,2021-08,"Edmonton, Alberta",House only,"Index, 201612=100",104.2
488,2021-09,"Edmonton, Alberta",House only,"Index, 201612=100",103.8
489,2021-10,"Edmonton, Alberta",House only,"Index, 201612=100",103.5
490,2021-11,"Edmonton, Alberta",House only,"Index, 201612=100",103.2
491,2021-12,"Edmonton, Alberta",House only,"Index, 201612=100",103.6
492,2022-01,"Edmonton, Alberta",House only,"Index, 201612=100",105.3
493,2022-02,"Edmonton, Alberta",House only,"Index, 201612=100",109.2
494,2022-03,"Edmonton, Alberta",House only,"Index, 201612=100",111.3
495,2022-04,"Edmonton, Alberta",House only,"Index, 201612=100",112.0
496,2022-05,"Edmonton, Alberta",House only,"Index, 201612=100",113.5
497,2022-06,"Edmonton, Alberta",House only,"Index, 201612=100",113.6
498,2022-07,"Edmonton, Alberta",House only,"Index, 201612=100",113.2
499,2022-08,"Edmonton, Alberta",House only,"Index, 201612=100",113.4
500,2022-09,"Edmonton, Alberta",House only,"Index, 201612=100",113.5
