,REF_DATE,GEO,New housing price indexes,UOM,HPI_edmonton_alb
87,1988-04,"Edmonton, Alberta",House only,"Index, 201612=100",37.0
88,1988-05,"Edmonton, Alberta",House only,"Index, 201612=100",37.1
89,1988-06,"Edmonton, Alberta",House only,"Index, 201612=100",37.1
90,1988-07,"Edmonton, Alberta",House only,"Index, 201612=100",37.2
91,1988-08,"Edmonton, Alberta",House only,"Index, 201612=100",37.3
92,1988-09,"Edmonton, Alberta",House only,"Index, 201612=100",37.3
93,1988-10,"Edmonton, Alberta",House only,"Index, 201612=100",37.3
94,1988-11,"Edmonton, Alberta",House only,"Index, 201612=100",37.6
95,1988-12,"Edmonton, Alberta",House only,"Index, 201612=100",37.6
96,1989-01,"Edmonton, Alberta",House only,"Index, 201612=100",37.7
97,1989-02,"Edmonton, Alberta",House only,"Index, 201612=100",38.2
98,1989-03,"Edmonton, Alberta",House only,"Index, 201612=100",38.4
99,1989-04,"Edmonton, Alberta",House only,"Index, 201612=100",38.4
100,1989-05,"Edmonton, Alberta",House only,"Index, 201612=100",38.6
101,1989-06,"Edmonton, Alberta",House only,"Index, 201612=100",38.8
102,1989-07,"Edmonton, Alberta",House only,"Index, 201612=100",38.9
103,1989-08,"Edmonton, Alberta",House only,"Index, 201612=100",39.1
104,1989-09,"Edmonton, Alberta",House only,"Index, 201612=100",39.4
105,1989-10,"Edmonton, Alberta",House only,"Index, 201612=100",40.0
106,1989-11,"Edmonton, Alberta",House only,"Index, 201612=100",40.5
107,1989-12,"Edmonton, Alberta",House only,"Index, 201612=100",41.4
108,1990-01,"Edmonton, Alberta",House only,"Index, 201612=100",42.4
109,1990-02,"Edmonton, Alberta",House only,"Index, 201612=100",43.8
110,1990-03,"Edmonton, Alberta",House only,"Index, 201612=100",45.2
111,1990-04,"Edmonton, Alberta",House only,"Index, 201612=100",45.3
112,1990-05,"Edmonton, Alberta",House only,"Index, 201612=100",45.3
113,1990-06,"Edmonton, Alberta",House only,"Index, 201612=100",45.3
114,1990-07,"Edmonton, Alberta",House only,"Index, 201612=100",45.3
115,1990-08,"Edmonton, Alberta",House only,"Index, 201612=100",45.3
116,1990-09,"Edmonton, Alberta",House only,"Index, 201612=100",45.3
117,1990-10,"Edmonton, Alberta",House only,"Index, 201612=100",45.5
