,REF_DATE,GEO,New housing price indexes,UOM,HPI_kelowna_bc
404,2014-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
405,2014-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
406,2014-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
407,2014-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
408,2015-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
409,2015-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
410,2015-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
411,2015-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
412,2015-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
413,2015-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
414,2015-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
415,2015-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
416,2015-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
417,2015-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
418,2015-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
419,2015-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
420,2016-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
421,2016-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
422,2016-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
423,2016-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
424,2016-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
425,2016-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
426,2016-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
427,2016-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
428,2016-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
429,2016-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
430,2016-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
431,2016-12,"Kelowna, British Columbia",House only,"Index, 201612=100",100.0
432,2017-01,"Kelowna, British Columbia",House only,"Index, 201612=100",100.0
433,2017-02,"Kelowna, British Columbia",House only,"Index, 201612=100",100.1
434,2017-03,"Kelowna, British Columbia",House only,"Index, 201612=100",100.1
435,2017-04,"Kelowna, British Columbia",House only,"Index, 201612=100",100.1
436,2017-05,"Kelowna, British Columbia",House only,"Index, 201612=100",101.0
437,2017-06,"Kelowna, British Columbia",House only,"Index, 201612=100",101.0
438,2017-07,"Kelowna, British Columbia",House only,"Index, 201612=100",102.4
439,2017-08,"Kelowna, British Columbia",House only,"Index, 201612=100",103.7
440,2017-09,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
441,2017-10,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
442,2017-11,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
443,2017-12,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
444,2018-01,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
445,2018-02,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
446,2018-03,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
447,2018-04,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
448,2018-05,"Kelowna, British Columbia",House only,"Index, 201612=100",104.8
449,2018-06,"Kelowna, British Columbia",House only,"Index, 201612=100",104.8
450,2018-07,"Kelowna, British Columbia",House only,"Index, 201612=100",104.8
451,2018-08,"Kelowna, British Columbia",House only,"Index, 201612=100",104.8
452,2018-09,"Kelowna, British Columbia",House only,"Index, 201612=100",104.5
453,2018-10,"Kelowna, British Columbia",House only,"Index, 201612=100",104.6
454,2018-11,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
455,2018-12,"Kelowna, British Columbia",House only,"Index, 201612=100",104.2
456,2019-01,"Kelowna, British Columbia",House only,"Index, 201612=100",104.1
457,2019-02,"Kelowna, British Columbia",House only,"Index, 201612=100",104.2
458,2019-03,"Kelowna, British Columbia",House only,"Index, 201612=100",104.2
459,2019-04,"Kelowna, British Columbia",House only,"Index, 201612=100",104.2
460,2019-05,"Kelowna, British Columbia",House only,"Index, 201612=100",103.7
461,2019-06,"Kelowna, British Columbia",House only,"Index, 201612=100",104.2
462,2019-07,"Kelowna, British Columbia",House only,"Index, 201612=100",104.4
463,2019-08,"Kelowna, British Columbia",House only,"Index, 201612=100",104.3
464,2019-09,"Kelowna, British Columbia",House only,"Index, 201612=100",104.0
465,2019-10,"Kelowna, British Columbia",House only,"Index, 201612=100",104.3
466,2019-11,"Kelowna, British Columbia",House only,"Index, 201612=100",104.5
467,2019-12,"Kelowna, British Columbia",House only,"Index, 201612=100",104.5
468,2020-01,"Kelowna, British Columbia",House only,"Index, 201612=100",105.5
469,2020-02,"Kelowna, British Columbia",House only,"Index, 201612=100",105.3
470,2020-03,"Kelowna, British Columbia",House only,"Index, 201612=100",105.3
471,2020-04,"Kelowna, British Columbia",House only,"Index, 201612=100",105.3
472,2020-05,"Kelowna, British Columbia",House only,"Index, 201612=100",105.2
473,2020-06,"Kelowna, British Columbia",House only,"Index, 201612=100",105.9
474,2020-07,"Kelowna, British Columbia",House only,"Index, 201612=100",106.1
475,2020-08,"Kelowna, British Columbia",House only,"Index, 201612=100",107.5
476,2020-09,"Kelowna, British Columbia",House only,"Index, 201612=100",108.0
477,2020-10,"Kelowna, British Columbia",House only,"Index, 201612=100",108.0
478,2020-11,"Kelowna, British Columbia",House only,"Index, 201612=100",108.8
479,2020-12,"Kelowna, British Columbia",House only,"Index, 201612=100",108.8
480,2021-01,"Kelowna, British Columbia",House only,"Index, 201612=100",110.2
481,2021-02,"Kelowna, British Columbia",House only,"Index, 201612=100",112.0
482,2021-03,"Kelowna, British Columbia",House only,"Index, 201612=100",115.2
483,2021-04,"Kelowna, British Columbia",House only,"Index, 201612=100",117.7
484,2021-05,"Kelowna, British Columbia",House only,"Index, 201612=100",118.8
485,2021-06,"Kelowna, British Columbia",House only,"Index, 201612=100",120.5
486,2021-07,"Kelowna, British Columbia",House only,"Index, 201612=100",121.9
487,2021-08,"Kelowna, British Columbia",House only,"Index, 201612=100",121.9
488,2021-09,"Kelowna, British Columbia",House only,"Index, 201612=100",121.9
489,2021-10,"Kelowna, British Columbia",House only,"Index, 201612=100",122.5
490,2021-11,"Kelowna, British Columbia",House only,"Index, 201612=100",122.5
491,2021-12,"Kelowna, British Columbia",House only,"Index, 201612=100",122.5
492,2022-01,"Kelowna, British Columbia",House only,"Index, 201612=100",122.5
493,2022-02,"Kelowna, British Columbia",House only,"Index, 201612=100",122.9
494,2022-03,"Kelowna, British Columbia",House only,"Index, 201612=100",126.3
495,2022-04,"Kelowna, British Columbia",House only,"Index, 201612=100",126.3
496,2022-05,"Kelowna, British Columbia",House only,"Index, 201612=100",128.3
497,2022-06,"Kelowna, British Columbia",House only,"Index, 201612=100",128.3
498,2022-07,"Kelowna, British Columbia",House only,"Index, 201612=100",128.4
499,2022-08,"Kelowna, British Columbia",House only,"Index, 201612=100",128.5
500,2022-09,"Kelowna, British Columbia",House only,"Index, 201612=100",128.5
