,REF_DATE,GEO,New housing price indexes,UOM,HPI_kelowna_bc
36,1984-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
37,1984-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
38,1984-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
39,1984-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
40,1984-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
41,1984-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
42,1984-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
43,1984-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
44,1984-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
45,1984-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
46,1984-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
47,1984-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
48,1985-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
49,1985-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
50,1985-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
51,1985-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
52,1985-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
53,1985-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
54,1985-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
55,1985-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
56,1985-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
57,1985-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
58,1985-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
59,1985-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
60,1986-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
61,1986-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
62,1986-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
63,1986-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
64,1986-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
65,1986-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
66,1986-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
67,1986-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
68,1986-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
