,REF_DATE,GEO,New housing price indexes,UOM,HPI_london_ont
98,1989-03,"London, Ontario",House only,"Index, 201612=100",50.3
99,1989-04,"London, Ontario",House only,"Index, 201612=100",50.8
100,1989-05,"London, Ontario",House only,"Index, 201612=100",51.6
101,1989-06,"London, Ontario",House only,"Index, 201612=100",51.6
102,1989-07,"London, Ontario",House only,"Index, 201612=100",51.6
103,1989-08,"London, Ontario",House only,"Index, 201612=100",51.6
104,1989-09,"London, Ontario",House only,"Index, 201612=100",52.3
105,1989-10,"London, Ontario",House only,"Index, 201612=100",52.7
106,1989-11,"London, Ontario",House only,"Index, 201612=100",53.7
107,1989-12,"London, Ontario",House only,"Index, 201612=100",53.8
108,1990-01,"London, Ontario",House only,"Index, 201612=100",54.8
109,1990-02,"London, Ontario",House only,"Index, 201612=100",55.0
110,1990-03,"London, Ontario",House only,"Index, 201612=100",55.1
111,1990-04,"London, Ontario",House only,"Index, 201612=100",55.3
112,1990-05,"London, Ontario",House only,"Index, 201612=100",55.4
113,1990-06,"London, Ontario",House only,"Index, 201612=100",55.5
114,1990-07,"London, Ontario",House only,"Index, 201612=100",55.5
115,1990-08,"London, Ontario",House only,"Index, 201612=100",55.7
116,1990-09,"London, Ontario",House only,"Index, 201612=100",55.7
117,1990-10,"London, Ontario",House only,"Index, 201612=100",55.8
118,1990-11,"London, Ontario",House only,"Index, 201612=100",55.9
119,1990-12,"London, Ontario",House only,"Index, 201612=100",56.1
120,1991-01,"London, Ontario",House only,"Index, 201612=100",55.3
121,1991-02,"London, Ontario",House only,"Index, 201612=100",55.6
122,1991-03,"London, Ontario",House only,"Index, 201612=100",55.6
123,1991-04,"London, Ontario",House only,"Index, 201612=100",55.3
124,1991-05,"London, Ontario",House only,"Index, 201612=100",55.2
125,1991-06,"London, Ontario",House only,"Index, 201612=100",55.4
126,1991-07,"London, Ontario",House only,"Index, 201612=100",55.4
127,1991-08,"London, Ontario",House only,"Index, 201612=100",55.8
128,1991-09,"London, Ontario",House only,"Index, 201612=100",55.8
129,1991-10,"London, Ontario",House only,"Index, 201612=100",55.8
130,1991-11,"London, Ontario",House only,"Index, 201612=100",55.2
131,1991-12,"London, Ontario",House only,"Index, 201612=100",55.2
132,1992-01,"London, Ontario",House only,"Index, 201612=100",55.3
133,1992-02,"London, Ontario",House only,"Index, 201612=100",55.3
134,1992-03,"London, Ontario",House only,"Index, 201612=100",55.7
135,1992-04,"London, Ontario",House only,"Index, 201612=100",55.7
136,1992-05,"London, Ontario",House only,"Index, 201612=100",55.7
137,1992-06,"London, Ontario",House only,"Index, 201612=100",55.6
138,1992-07,"London, Ontario",House only,"Index, 201612=100",55.5
139,1992-08,"London, Ontario",House only,"Index, 201612=100",55.5
140,1992-09,"London, Ontario",House only,"Index, 201612=100",55.5
141,1992-10,"London, Ontario",House only,"Index, 201612=100",55.4
142,1992-11,"London, Ontario",House only,"Index, 201612=100",55.4
143,1992-12,"London, Ontario",House only,"Index, 201612=100",55.3
144,1993-01,"London, Ontario",House only,"Index, 201612=100",55.3
145,1993-02,"London, Ontario",House only,"Index, 201612=100",55.2
146,1993-03,"London, Ontario",House only,"Index, 201612=100",55.3
147,1993-04,"London, Ontario",House only,"Index, 201612=100",55.3
148,1993-05,"London, Ontario",House only,"Index, 201612=100",55.6
149,1993-06,"London, Ontario",House only,"Index, 201612=100",55.4
150,1993-07,"London, Ontario",House only,"Index, 201612=100",55.4
151,1993-08,"London, Ontario",House only,"Index, 201612=100",55.6
152,1993-09,"London, Ontario",House only,"Index, 201612=100",55.6
153,1993-10,"London, Ontario",House only,"Index, 201612=100",55.6
154,1993-11,"London, Ontario",House only,"Index, 201612=100",55.6
155,1993-12,"London, Ontario",House only,"Index, 201612=100",55.7
156,1994-01,"London, Ontario",House only,"Index, 201612=100",55.7
157,1994-02,"London, Ontario",House only,"Index, 201612=100",55.6
158,1994-03,"London, Ontario",House only,"Index, 201612=100",55.7
159,1994-04,"London, Ontario",House only,"Index, 201612=100",55.7
160,1994-05,"London, Ontario",House only,"Index, 201612=100",55.7
161,1994-06,"London, Ontario",House only,"Index, 201612=100",55.7
162,1994-07,"London, Ontario",House only,"Index, 201612=100",56.1
163,1994-08,"London, Ontario",House only,"Index, 201612=100",55.8
164,1994-09,"London, Ontario",House only,"Index, 201612=100",55.8
165,1994-10,"London, Ontario",House only,"Index, 201612=100",55.6
166,1994-11,"London, Ontario",House only,"Index, 201612=100",55.8
167,1994-12,"London, Ontario",House only,"Index, 201612=100",55.8
168,1995-01,"London, Ontario",House only,"Index, 201612=100",56.0
169,1995-02,"London, Ontario",House only,"Index, 201612=100",54.1
170,1995-03,"London, Ontario",House only,"Index, 201612=100",54.1
171,1995-04,"London, Ontario",House only,"Index, 201612=100",53.7
172,1995-05,"London, Ontario",House only,"Index, 201612=100",53.7
173,1995-06,"London, Ontario",House only,"Index, 201612=100",53.2
174,1995-07,"London, Ontario",House only,"Index, 201612=100",53.6
175,1995-08,"London, Ontario",House only,"Index, 201612=100",53.6
176,1995-09,"London, Ontario",House only,"Index, 201612=100",53.6
177,1995-10,"London, Ontario",House only,"Index, 201612=100",53.8
178,1995-11,"London, Ontario",House only,"Index, 201612=100",52.9
179,1995-12,"London, Ontario",House only,"Index, 201612=100",53.3
180,1996-01,"London, Ontario",House only,"Index, 201612=100",53.3
181,1996-02,"London, Ontario",House only,"Index, 201612=100",53.3
182,1996-03,"London, Ontario",House only,"Index, 201612=100",53.3
183,1996-04,"London, Ontario",House only,"Index, 201612=100",53.3
184,1996-05,"London, Ontario",House only,"Index, 201612=100",53.3
185,1996-06,"London, Ontario",House only,"Index, 201612=100",53.3
186,1996-07,"London, Ontario",House only,"Index, 201612=100",53.6
187,1996-08,"London, Ontario",House only,"Index, 201612=100",53.6
188,1996-09,"London, Ontario",House only,"Index, 201612=100",53.6
189,1996-10,"London, Ontario",House only,"Index, 201612=100",53.6
190,1996-11,"London, Ontario",House only,"Index, 201612=100",53.2
191,1996-12,"London, Ontario",House only,"Index, 201612=100",53.2
192,1997-01,"London, Ontario",House only,"Index, 201612=100",53.8
193,1997-02,"London, Ontario",House only,"Index, 201612=100",54.1
194,1997-03,"London, Ontario",House only,"Index, 201612=100",54.1
195,1997-04,"London, Ontario",House only,"Index, 201612=100",53.8
196,1997-05,"London, Ontario",House only,"Index, 201612=100",54.2
197,1997-06,"London, Ontario",House only,"Index, 201612=100",54.2
198,1997-07,"London, Ontario",House only,"Index, 201612=100",54.2
199,1997-08,"London, Ontario",House only,"Index, 201612=100",54.1
200,1997-09,"London, Ontario",House only,"Index, 201612=100",54.2
201,1997-10,"London, Ontario",House only,"Index, 201612=100",54.2
202,1997-11,"London, Ontario",House only,"Index, 201612=100",54.2
203,1997-12,"London, Ontario",House only,"Index, 201612=100",54.2
204,1998-01,"London, Ontario",House only,"Index, 201612=100",54.2
205,1998-02,"London, Ontario",House only,"Index, 201612=100",54.0
206,1998-03,"London, Ontario",House only,"Index, 201612=100",54.3
207,1998-04,"London, Ontario",House only,"Index, 201612=100",54.3
208,1998-05,"London, Ontario",House only,"Index, 201612=100",54.3
209,1998-06,"London, Ontario",House only,"Index, 201612=100",54.3
210,1998-07,"London, Ontario",House only,"Index, 201612=100",54.3
211,1998-08,"London, Ontario",House only,"Index, 201612=100",54.4
212,1998-09,"London, Ontario",House only,"Index, 201612=100",54.4
213,1998-10,"London, Ontario",House only,"Index, 201612=100",54.8
214,1998-11,"London, Ontario",House only,"Index, 201612=100",54.8
215,1998-12,"London, Ontario",House only,"Index, 201612=100",54.8
216,1999-01,"London, Ontario",House only,"Index, 201612=100",54.8
217,1999-02,"London, Ontario",House only,"Index, 201612=100",54.9
218,1999-03,"London, Ontario",House only,"Index, 201612=100",54.9
219,1999-04,"London, Ontario",House only,"Index, 201612=100",54.7
220,1999-05,"London, Ontario",House only,"Index, 201612=100",54.7
221,1999-06,"London, Ontario",House only,"Index, 201612=100",54.7
222,1999-07,"London, Ontario",House only,"Index, 201612=100",54.7
223,1999-08,"London, Ontario",House only,"Index, 201612=100",55.0
224,1999-09,"London, Ontario",House only,"Index, 201612=100",55.2
225,1999-10,"London, Ontario",House only,"Index, 201612=100",55.4
226,1999-11,"London, Ontario",House only,"Index, 201612=100",55.6
227,1999-12,"London, Ontario",House only,"Index, 201612=100",55.6
228,2000-01,"London, Ontario",House only,"Index, 201612=100",55.6
229,2000-02,"London, Ontario",House only,"Index, 201612=100",56.4
230,2000-03,"London, Ontario",House only,"Index, 201612=100",56.3
231,2000-04,"London, Ontario",House only,"Index, 201612=100",56.4
232,2000-05,"London, Ontario",House only,"Index, 201612=100",56.7
233,2000-06,"London, Ontario",House only,"Index, 201612=100",56.8
234,2000-07,"London, Ontario",House only,"Index, 201612=100",57.0
235,2000-08,"London, Ontario",House only,"Index, 201612=100",57.0
236,2000-09,"London, Ontario",House only,"Index, 201612=100",57.4
237,2000-10,"London, Ontario",House only,"Index, 201612=100",57.3
238,2000-11,"London, Ontario",House only,"Index, 201612=100",57.3
239,2000-12,"London, Ontario",House only,"Index, 201612=100",57.3
240,2001-01,"London, Ontario",House only,"Index, 201612=100",57.3
241,2001-02,"London, Ontario",House only,"Index, 201612=100",57.6
242,2001-03,"London, Ontario",House only,"Index, 201612=100",57.8
243,2001-04,"London, Ontario",House only,"Index, 201612=100",58.6
244,2001-05,"London, Ontario",House only,"Index, 201612=100",58.6
245,2001-06,"London, Ontario",House only,"Index, 201612=100",58.7
246,2001-07,"London, Ontario",House only,"Index, 201612=100",58.6
247,2001-08,"London, Ontario",House only,"Index, 201612=100",58.8
248,2001-09,"London, Ontario",House only,"Index, 201612=100",58.9
249,2001-10,"London, Ontario",House only,"Index, 201612=100",59.1
250,2001-11,"London, Ontario",House only,"Index, 201612=100",59.6
251,2001-12,"London, Ontario",House only,"Index, 201612=100",59.4
252,2002-01,"London, Ontario",House only,"Index, 201612=100",60.3
253,2002-02,"London, Ontario",House only,"Index, 201612=100",60.3
254,2002-03,"London, Ontario",House only,"Index, 201612=100",60.1
255,2002-04,"London, Ontario",House only,"Index, 201612=100",60.5
256,2002-05,"London, Ontario",House only,"Index, 201612=100",60.3
257,2002-06,"London, Ontario",House only,"Index, 201612=100",60.8
258,2002-07,"London, Ontario",House only,"Index, 201612=100",60.6
259,2002-08,"London, Ontario",House only,"Index, 201612=100",60.8
260,2002-09,"London, Ontario",House only,"Index, 201612=100",61.1
261,2002-10,"London, Ontario",House only,"Index, 201612=100",62.0
262,2002-11,"London, Ontario",House only,"Index, 201612=100",62.0
263,2002-12,"London, Ontario",House only,"Index, 201612=100",62.2
264,2003-01,"London, Ontario",House only,"Index, 201612=100",62.4
265,2003-02,"London, Ontario",House only,"Index, 201612=100",63.0
266,2003-03,"London, Ontario",House only,"Index, 201612=100",64.0
267,2003-04,"London, Ontario",House only,"Index, 201612=100",64.7
268,2003-05,"London, Ontario",House only,"Index, 201612=100",64.8
269,2003-06,"London, Ontario",House only,"Index, 201612=100",64.8
270,2003-07,"London, Ontario",House only,"Index, 201612=100",65.0
271,2003-08,"London, Ontario",House only,"Index, 201612=100",65.0
272,2003-09,"London, Ontario",House only,"Index, 201612=100",65.1
273,2003-10,"London, Ontario",House only,"Index, 201612=100",65.1
274,2003-11,"London, Ontario",House only,"Index, 201612=100",65.8
275,2003-12,"London, Ontario",House only,"Index, 201612=100",66.6
276,2004-01,"London, Ontario",House only,"Index, 201612=100",66.4
277,2004-02,"London, Ontario",House only,"Index, 201612=100",67.8
278,2004-03,"London, Ontario",House only,"Index, 201612=100",68.0
279,2004-04,"London, Ontario",House only,"Index, 201612=100",68.0
280,2004-05,"London, Ontario",House only,"Index, 201612=100",68.1
281,2004-06,"London, Ontario",House only,"Index, 201612=100",68.5
282,2004-07,"London, Ontario",House only,"Index, 201612=100",68.6
283,2004-08,"London, Ontario",House only,"Index, 201612=100",68.7
284,2004-09,"London, Ontario",House only,"Index, 201612=100",68.9
285,2004-10,"London, Ontario",House only,"Index, 201612=100",69.1
286,2004-11,"London, Ontario",House only,"Index, 201612=100",69.3
287,2004-12,"London, Ontario",House only,"Index, 201612=100",69.9
288,2005-01,"London, Ontario",House only,"Index, 201612=100",70.3
289,2005-02,"London, Ontario",House only,"Index, 201612=100",70.5
290,2005-03,"London, Ontario",House only,"Index, 201612=100",70.9
291,2005-04,"London, Ontario",House only,"Index, 201612=100",72.3
292,2005-05,"London, Ontario",House only,"Index, 201612=100",73.2
293,2005-06,"London, Ontario",House only,"Index, 201612=100",73.2
294,2005-07,"London, Ontario",House only,"Index, 201612=100",73.1
295,2005-08,"London, Ontario",House only,"Index, 201612=100",73.1
296,2005-09,"London, Ontario",House only,"Index, 201612=100",73.3
297,2005-10,"London, Ontario",House only,"Index, 201612=100",73.3
298,2005-11,"London, Ontario",House only,"Index, 201612=100",73.7
299,2005-12,"London, Ontario",House only,"Index, 201612=100",74.3
300,2006-01,"London, Ontario",House only,"Index, 201612=100",75.6
301,2006-02,"London, Ontario",House only,"Index, 201612=100",76.1
302,2006-03,"London, Ontario",House only,"Index, 201612=100",76.2
303,2006-04,"London, Ontario",House only,"Index, 201612=100",76.8
304,2006-05,"London, Ontario",House only,"Index, 201612=100",76.1
305,2006-06,"London, Ontario",House only,"Index, 201612=100",76.0
306,2006-07,"London, Ontario",House only,"Index, 201612=100",76.1
307,2006-08,"London, Ontario",House only,"Index, 201612=100",77.7
