,REF_DATE,GEO,New housing price indexes,UOM,HPI_london_ont
433,2017-02,"London, Ontario",House only,"Index, 201612=100",101.2
434,2017-03,"London, Ontario",House only,"Index, 201612=100",101.5
435,2017-04,"London, Ontario",House only,"Index, 201612=100",103.8
436,2017-05,"London, Ontario",House only,"Index, 201612=100",105.7
437,2017-06,"London, Ontario",House only,"Index, 201612=100",105.5
438,2017-07,"London, Ontario",House only,"Index, 201612=100",106.7
439,2017-08,"London, Ontario",House only,"Index, 201612=100",108.0
440,2017-09,"London, Ontario",House only,"Index, 201612=100",108.3
441,2017-10,"London, Ontario",House only,"Index, 201612=100",108.3
442,2017-11,"London, Ontario",House only,"Index, 201612=100",108.7
443,2017-12,"London, Ontario",House only,"Index, 201612=100",108.9
444,2018-01,"London, Ontario",House only,"Index, 201612=100",109.5
445,2018-02,"London, Ontario",House only,"Index, 201612=100",110.0
446,2018-03,"London, Ontario",House only,"Index, 201612=100",111.0
447,2018-04,"London, Ontario",House only,"Index, 201612=100",111.2
448,2018-05,"London, Ontario",House only,"Index, 201612=100",111.7
449,2018-06,"London, Ontario",House only,"Index, 201612=100",111.8
450,2018-07,"London, Ontario",House only,"Index, 201612=100",112.3
451,2018-08,"London, Ontario",House only,"Index, 201612=100",112.7
452,2018-09,"London, Ontario",House only,"Index, 201612=100",113.2
453,2018-10,"London, Ontario",House only,"Index, 201612=100",113.4
454,2018-11,"London, Ontario",House only,"Index, 201612=100",113.5
455,2018-12,"London, Ontario",House only,"Index, 201612=100",113.6
456,2019-01,"London, Ontario",House only,"Index, 201612=100",113.6
457,2019-02,"London, Ontario",House only,"Index, 201612=100",114.4
458,2019-03,"London, Ontario",House only,"Index, 201612=100",114.8
459,2019-04,"London, Ontario",House only,"Index, 201612=100",115.3
460,2019-05,"London, Ontario",House only,"Index, 201612=100",115.5
461,2019-06,"London, Ontario",House only,"Index, 201612=100",116.0
462,2019-07,"London, Ontario",House only,"Index, 201612=100",116.1
463,2019-08,"London, Ontario",House only,"Index, 201612=100",116.1
464,2019-09,"London, Ontario",House only,"Index, 201612=100",117.1
465,2019-10,"London, Ontario",House only,"Index, 201612=100",117.4
466,2019-11,"London, Ontario",House only,"Index, 201612=100",117.5
467,2019-12,"London, Ontario",House only,"Index, 201612=100",117.6
468,2020-01,"London, Ontario",House only,"Index, 201612=100",117.9
469,2020-02,"London, Ontario",House only,"Index, 201612=100",118.0
470,2020-03,"London, Ontario",House only,"Index, 201612=100",118.8
471,2020-04,"London, Ontario",House only,"Index, 201612=100",119.0
472,2020-05,"London, Ontario",House only,"Index, 201612=100",119.6
473,2020-06,"London, Ontario",House only,"Index, 201612=100",119.7
474,2020-07,"London, Ontario",House only,"Index, 201612=100",120.0
475,2020-08,"London, Ontario",House only,"Index, 201612=100",120.8
476,2020-09,"London, Ontario",House only,"Index, 201612=100",121.5
477,2020-10,"London, Ontario",House only,"Index, 201612=100",121.7
478,2020-11,"London, Ontario",House only,"Index, 201612=100",122.0
479,2020-12,"London, Ontario",House only,"Index, 201612=100",122.9
480,2021-01,"London, Ontario",House only,"Index, 201612=100",125.5
481,2021-02,"London, Ontario",House only,"Index, 201612=100",126.0
482,2021-03,"London, Ontario",House only,"Index, 201612=100",127.5
483,2021-04,"London, Ontario",House only,"Index, 201612=100",128.5
484,2021-05,"London, Ontario",House only,"Index, 201612=100",135.3
485,2021-06,"London, Ontario",House only,"Index, 201612=100",136.5
486,2021-07,"London, Ontario",House only,"Index, 201612=100",136.6
487,2021-08,"London, Ontario",House only,"Index, 201612=100",142.6
488,2021-09,"London, Ontario",House only,"Index, 201612=100",142.6
489,2021-10,"London, Ontario",House only,"Index, 201612=100",146.4
490,2021-11,"London, Ontario",House only,"Index, 201612=100",151.3
491,2021-12,"London, Ontario",House only,"Index, 201612=100",151.2
492,2022-01,"London, Ontario",House only,"Index, 201612=100",152.6
493,2022-02,"London, Ontario",House only,"Index, 201612=100",153.3
494,2022-03,"London, Ontario",House only,"Index, 201612=100",155.9
495,2022-04,"London, Ontario",House only,"Index, 201612=100",155.9
496,2022-05,"London, Ontario",House only,"Index, 201612=100",156.1
497,2022-06,"London, Ontario",House only,"Index, 201612=100",156.1
498,2022-07,"London, Ontario",House only,"Index, 201612=100",156.1
499,2022-08,"London, Ontario",House only,"Index, 201612=100",156.1
500,2022-09,"London, Ontario",House only,"Index, 201612=100",156.1
