,REF_DATE,GEO,New housing price indexes,UOM,HPI_victoria_bc
87,1988-04,"Victoria, British Columbia",House only,"Index, 201612=100",155.2
88,1988-05,"Victoria, British Columbia",House only,"Index, 201612=100",155.5
89,1988-06,"Victoria, British Columbia",House only,"Index, 201612=100",155.5
90,1988-07,"Victoria, British Columbia",House only,"Index, 201612=100",156.3
91,1988-08,"Victoria, British Columbia",House only,"Index, 201612=100",156.3
92,1988-09,"Victoria, British Columbia",House only,"Index, 201612=100",158.5
93,1988-10,"Victoria, British Columbia",House only,"Index, 201612=100",157.7
94,1988-11,"Victoria, British Columbia",House only,"Index, 201612=100",157.7
95,1988-12,"Victoria, British Columbia",House only,"Index, 201612=100",159.5
96,1989-01,"Victoria, British Columbia",House only,"Index, 201612=100",164.2
97,1989-02,"Victoria, British Columbia",House only,"Index, 201612=100",165.5
98,1989-03,"Victoria, British Columbia",House only,"Index, 201612=100",167.5
99,1989-04,"Victoria, British Columbia",House only,"Index, 201612=100",168.3
100,1989-05,"Victoria, British Columbia",House only,"Index, 201612=100",167.7
101,1989-06,"Victoria, British Columbia",House only,"Index, 201612=100",167.0
102,1989-07,"Victoria, British Columbia",House only,"Index, 201612=100",167.5
103,1989-08,"Victoria, British Columbia",House only,"Index, 201612=100",167.8
104,1989-09,"Victoria, British Columbia",House only,"Index, 201612=100",167.5
105,1989-10,"Victoria, British Columbia",House only,"Index, 201612=100",170.9
106,1989-11,"Victoria, British Columbia",House only,"Index, 201612=100",171.6
107,1989-12,"Victoria, British Columbia",House only,"Index, 201612=100",172.2
108,1990-01,"Victoria, British Columbia",House only,"Index, 201612=100",182.1
109,1990-02,"Victoria, British Columbia",House only,"Index, 201612=100",184.4
110,1990-03,"Victoria, British Columbia",House only,"Index, 201612=100",184.4
111,1990-04,"Victoria, British Columbia",House only,"Index, 201612=100",182.6
112,1990-05,"Victoria, British Columbia",House only,"Index, 201612=100",176.7
113,1990-06,"Victoria, British Columbia",House only,"Index, 201612=100",176.3
114,1990-07,"Victoria, British Columbia",House only,"Index, 201612=100",173.9
115,1990-08,"Victoria, British Columbia",House only,"Index, 201612=100",169.3
116,1990-09,"Victoria, British Columbia",House only,"Index, 201612=100",167.2
117,1990-10,"Victoria, British Columbia",House only,"Index, 201612=100",166.5
118,1990-11,"Victoria, British Columbia",House only,"Index, 201612=100",165.4
119,1990-12,"Victoria, British Columbia",House only,"Index, 201612=100",166.0
120,1991-01,"Victoria, British Columbia",House only,"Index, 201612=100",165.7
121,1991-02,"Victoria, British Columbia",House only,"Index, 201612=100",166.3
122,1991-03,"Victoria, British Columbia",House only,"Index, 201612=100",168.0
123,1991-04,"Victoria, British Columbia",House only,"Index, 201612=100",167.8
124,1991-05,"Victoria, British Columbia",House only,"Index, 201612=100",167.8
125,1991-06,"Victoria, British Columbia",House only,"Index, 201612=100",166.3
126,1991-07,"Victoria, British Columbia",House only,"Index, 201612=100",165.7
127,1991-08,"Victoria, British Columbia",House only,"Index, 201612=100",165.0
128,1991-09,"Victoria, British Columbia",House only,"Index, 201612=100",165.7
129,1991-10,"Victoria, British Columbia",House only,"Index, 201612=100",162.9
130,1991-11,"Victoria, British Columbia",House only,"Index, 201612=100",162.4
131,1991-12,"Victoria, British Columbia",House only,"Index, 201612=100",160.3
132,1992-01,"Victoria, British Columbia",House only,"Index, 201612=100",161.8
133,1992-02,"Victoria, British Columbia",House only,"Index, 201612=100",161.6
134,1992-03,"Victoria, British Columbia",House only,"Index, 201612=100",162.6
135,1992-04,"Victoria, British Columbia",House only,"Index, 201612=100",164.4
136,1992-05,"Victoria, British Columbia",House only,"Index, 201612=100",166.0
137,1992-06,"Victoria, British Columbia",House only,"Index, 201612=100",165.8
138,1992-07,"Victoria, British Columbia",House only,"Index, 201612=100",165.5
139,1992-08,"Victoria, British Columbia",House only,"Index, 201612=100",165.5
140,1992-09,"Victoria, British Columbia",House only,"Index, 201612=100",164.7
141,1992-10,"Victoria, British Columbia",House only,"Index, 201612=100",163.7
142,1992-11,"Victoria, British Columbia",House only,"Index, 201612=100",162.7
143,1992-12,"Victoria, British Columbia",House only,"Index, 201612=100",161.9
144,1993-01,"Victoria, British Columbia",House only,"Index, 201612=100",162.2
145,1993-02,"Victoria, British Columbia",House only,"Index, 201612=100",162.4
146,1993-03,"Victoria, British Columbia",House only,"Index, 201612=100",162.7
147,1993-04,"Victoria, British Columbia",House only,"Index, 201612=100",161.8
148,1993-05,"Victoria, British Columbia",House only,"Index, 201612=100",162.4
149,1993-06,"Victoria, British Columbia",House only,"Index, 201612=100",161.3
150,1993-07,"Victoria, British Columbia",House only,"Index, 201612=100",160.9
151,1993-08,"Victoria, British Columbia",House only,"Index, 201612=100",161.4
152,1993-09,"Victoria, British Columbia",House only,"Index, 201612=100",159.9
153,1993-10,"Victoria, British Columbia",House only,"Index, 201612=100",156.5
154,1993-11,"Victoria, British Columbia",House only,"Index, 201612=100",156.2
155,1993-12,"Victoria, British Columbia",House only,"Index, 201612=100",155.2
156,1994-01,"Victoria, British Columbia",House only,"Index, 201612=100",155.5
157,1994-02,"Victoria, British Columbia",House only,"Index, 201612=100",156.7
158,1994-03,"Victoria, British Columbia",House only,"Index, 201612=100",156.7
159,1994-04,"Victoria, British Columbia",House only,"Index, 201612=100",154.7
160,1994-05,"Victoria, British Columbia",House only,"Index, 201612=100",153.4
161,1994-06,"Victoria, British Columbia",House only,"Index, 201612=100",152.1
162,1994-07,"Victoria, British Columbia",House only,"Index, 201612=100",152.6
163,1994-08,"Victoria, British Columbia",House only,"Index, 201612=100",152.6
164,1994-09,"Victoria, British Columbia",House only,"Index, 201612=100",150.6
165,1994-10,"Victoria, British Columbia",House only,"Index, 201612=100",149.1
166,1994-11,"Victoria, British Columbia",House only,"Index, 201612=100",150.1
167,1994-12,"Victoria, British Columbia",House only,"Index, 201612=100",146.2
168,1995-01,"Victoria, British Columbia",House only,"Index, 201612=100",146.8
169,1995-02,"Victoria, British Columbia",House only,"Index, 201612=100",146.0
