,REF_DATE,GEO,New housing price indexes,UOM,HPI_victoria_bc
384,2013-01,"Victoria, British Columbia",House only,"Index, 201612=100",96.7
385,2013-02,"Victoria, British Columbia",House only,"Index, 201612=100",96.7
386,2013-03,"Victoria, British Columbia",House only,"Index, 201612=100",96.6
387,2013-04,"Victoria, British Columbia",House only,"Index, 201612=100",96.7
388,2013-05,"Victoria, British Columbia",House only,"Index, 201612=100",96.7
389,2013-06,"Victoria, British Columbia",House only,"Index, 201612=100",96.6
390,2013-07,"Victoria, British Columbia",House only,"Index, 201612=100",96.6
391,2013-08,"Victoria, British Columbia",House only,"Index, 201612=100",96.5
392,2013-09,"Victoria, British Columbia",House only,"Index, 201612=100",96.4
393,2013-10,"Victoria, British Columbia",House only,"Index, 201612=100",96.3
394,2013-11,"Victoria, British Columbia",House only,"Index, 201612=100",95.7
395,2013-12,"Victoria, British Columbia",House only,"Index, 201612=100",95.7
396,2014-01,"Victoria, British Columbia",House only,"Index, 201612=100",95.7
397,2014-02,"Victoria, British Columbia",House only,"Index, 201612=100",95.7
398,2014-03,"Victoria, British Columbia",House only,"Index, 201612=100",95.4
399,2014-04,"Victoria, British Columbia",House only,"Index, 201612=100",95.4
400,2014-05,"Victoria, British Columbia",House only,"Index, 201612=100",95.4
401,2014-06,"Victoria, British Columbia",House only,"Index, 201612=100",95.4
402,2014-07,"Victoria, British Columbia",House only,"Index, 201612=100",95.4
403,2014-08,"Victoria, British Columbia",House only,"Index, 201612=100",95.2
404,2014-09,"Victoria, British Columbia",House only,"Index, 201612=100",94.3
405,2014-10,"Victoria, British Columbia",House only,"Index, 201612=100",94.2
406,2014-11,"Victoria, British Columbia",House only,"Index, 201612=100",94.2
407,2014-12,"Victoria, British Columbia",House only,"Index, 201612=100",94.2
408,2015-01,"Victoria, British Columbia",House only,"Index, 201612=100",93.6
409,2015-02,"Victoria, British Columbia",House only,"Index, 201612=100",93.6
410,2015-03,"Victoria, British Columbia",House only,"Index, 201612=100",93.6
411,2015-04,"Victoria, British Columbia",House only,"Index, 201612=100",93.3
412,2015-05,"Victoria, British Columbia",House only,"Index, 201612=100",93.3
413,2015-06,"Victoria, British Columbia",House only,"Index, 201612=100",93.3
414,2015-07,"Victoria, British Columbia",House only,"Index, 201612=100",93.3
415,2015-08,"Victoria, British Columbia",House only,"Index, 201612=100",93.0
416,2015-09,"Victoria, British Columbia",House only,"Index, 201612=100",93.0
417,2015-10,"Victoria, British Columbia",House only,"Index, 201612=100",93.5
418,2015-11,"Victoria, British Columbia",House only,"Index, 201612=100",93.5
419,2015-12,"Victoria, British Columbia",House only,"Index, 201612=100",93.5
420,2016-01,"Victoria, British Columbia",House only,"Index, 201612=100",93.5
421,2016-02,"Victoria, British Columbia",House only,"Index, 201612=100",93.8
422,2016-03,"Victoria, British Columbia",House only,"Index, 201612=100",93.8
423,2016-04,"Victoria, British Columbia",House only,"Index, 201612=100",95.0
424,2016-05,"Victoria, British Columbia",House only,"Index, 201612=100",96.4
425,2016-06,"Victoria, British Columbia",House only,"Index, 201612=100",96.9
426,2016-07,"Victoria, British Columbia",House only,"Index, 201612=100",97.9
427,2016-08,"Victoria, British Columbia",House only,"Index, 201612=100",97.9
428,2016-09,"Victoria, British Columbia",House only,"Index, 201612=100",98.6
429,2016-10,"Victoria, British Columbia",House only,"Index, 201612=100",99.5
430,2016-11,"Victoria, British Columbia",House only,"Index, 201612=100",100.0
431,2016-12,"Victoria, British Columbia",House only,"Index, 201612=100",100.0
432,2017-01,"Victoria, British Columbia",House only,"Index, 201612=100",100.3
433,2017-02,"Victoria, British Columbia",House only,"Index, 201612=100",101.7
434,2017-03,"Victoria, British Columbia",House only,"Index, 201612=100",101.7
435,2017-04,"Victoria, British Columbia",House only,"Index, 201612=100",101.7
436,2017-05,"Victoria, British Columbia",House only,"Index, 201612=100",101.7
437,2017-06,"Victoria, British Columbia",House only,"Index, 201612=100",101.7
438,2017-07,"Victoria, British Columbia",House only,"Index, 201612=100",101.7
439,2017-08,"Victoria, British Columbia",House only,"Index, 201612=100",101.7
440,2017-09,"Victoria, British Columbia",House only,"Index, 201612=100",101.7
441,2017-10,"Victoria, British Columbia",House only,"Index, 201612=100",102.0
442,2017-11,"Victoria, British Columbia",House only,"Index, 201612=100",102.0
443,2017-12,"Victoria, British Columbia",House only,"Index, 201612=100",102.0
444,2018-01,"Victoria, British Columbia",House only,"Index, 201612=100",102.0
445,2018-02,"Victoria, British Columbia",House only,"Index, 201612=100",102.0
446,2018-03,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
447,2018-04,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
448,2018-05,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
449,2018-06,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
450,2018-07,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
451,2018-08,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
452,2018-09,"Victoria, British Columbia",House only,"Index, 201612=100",103.3
453,2018-10,"Victoria, British Columbia",House only,"Index, 201612=100",103.3
454,2018-11,"Victoria, British Columbia",House only,"Index, 201612=100",103.2
455,2018-12,"Victoria, British Columbia",House only,"Index, 201612=100",103.2
456,2019-01,"Victoria, British Columbia",House only,"Index, 201612=100",103.1
457,2019-02,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
458,2019-03,"Victoria, British Columbia",House only,"Index, 201612=100",102.7
459,2019-04,"Victoria, British Columbia",House only,"Index, 201612=100",101.9
460,2019-05,"Victoria, British Columbia",House only,"Index, 201612=100",101.1
461,2019-06,"Victoria, British Columbia",House only,"Index, 201612=100",100.4
462,2019-07,"Victoria, British Columbia",House only,"Index, 201612=100",100.4
463,2019-08,"Victoria, British Columbia",House only,"Index, 201612=100",100.5
464,2019-09,"Victoria, British Columbia",House only,"Index, 201612=100",100.8
465,2019-10,"Victoria, British Columbia",House only,"Index, 201612=100",100.8
466,2019-11,"Victoria, British Columbia",House only,"Index, 201612=100",100.7
467,2019-12,"Victoria, British Columbia",House only,"Index, 201612=100",101.0
468,2020-01,"Victoria, British Columbia",House only,"Index, 201612=100",101.0
469,2020-02,"Victoria, British Columbia",House only,"Index, 201612=100",102.2
470,2020-03,"Victoria, British Columbia",House only,"Index, 201612=100",102.1
471,2020-04,"Victoria, British Columbia",House only,"Index, 201612=100",102.1
472,2020-05,"Victoria, British Columbia",House only,"Index, 201612=100",102.1
473,2020-06,"Victoria, British Columbia",House only,"Index, 201612=100",102.1
474,2020-07,"Victoria, British Columbia",House only,"Index, 201612=100",102.1
475,2020-08,"Victoria, British Columbia",House only,"Index, 201612=100",102.5
476,2020-09,"Victoria, British Columbia",House only,"Index, 201612=100",106.0
477,2020-10,"Victoria, British Columbia",House only,"Index, 201612=100",106.3
478,2020-11,"Victoria, British Columbia",House only,"Index, 201612=100",107.0
479,2020-12,"Victoria, British Columbia",House only,"Index, 201612=100",109.0
480,2021-01,"Victoria, British Columbia",House only,"Index, 201612=100",109.1
481,2021-02,"Victoria, British Columbia",House only,"Index, 201612=100",110.2
482,2021-03,"Victoria, British Columbia",House only,"Index, 201612=100",115.8
483,2021-04,"Victoria, British Columbia",House only,"Index, 201612=100",117.2
484,2021-05,"Victoria, British Columbia",House only,"Index, 201612=100",117.8
485,2021-06,"Victoria, British Columbia",House only,"Index, 201612=100",118.1
486,2021-07,"Victoria, British Columbia",House only,"Index, 201612=100",119.7
487,2021-08,"Victoria, British Columbia",House only,"Index, 201612=100",119.7
488,2021-09,"Victoria, British Columbia",House only,"Index, 201612=100",121.4
489,2021-10,"Victoria, British Columbia",House only,"Index, 201612=100",126.3
490,2021-11,"Victoria, British Columbia",House only,"Index, 201612=100",126.3
491,2021-12,"Victoria, British Columbia",House only,"Index, 201612=100",126.7
492,2022-01,"Victoria, British Columbia",House only,"Index, 201612=100",128.2
493,2022-02,"Victoria, British Columbia",House only,"Index, 201612=100",128.8
494,2022-03,"Victoria, British Columbia",House only,"Index, 201612=100",132.1
495,2022-04,"Victoria, British Columbia",House only,"Index, 201612=100",132.1
496,2022-05,"Victoria, British Columbia",House only,"Index, 201612=100",132.1
497,2022-06,"Victoria, British Columbia",House only,"Index, 201612=100",132.1
498,2022-07,"Victoria, British Columbia",House only,"Index, 201612=100",132.1
499,2022-08,"Victoria, British Columbia",House only,"Index, 201612=100",132.1
500,2022-09,"Victoria, British Columbia",House only,"Index, 201612=100",132.1
