"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-04","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","97.4","","","","1"
"2018-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","101.5","","","","1"
"2018-04","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","105.0","","","","1"
"2018-04","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","92.3","","","","1"
"2018-04","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","97.9","","","","1"
"2018-04","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","101.7","","","","1"
"2018-04","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","108.0","","","","1"
"2018-07","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","105.0","","","","1"
"2018-07","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","105.1","","","","1"
"2018-07","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","103.9","","","","1"
"2018-07","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","97.8","","","","1"
"2018-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","103.3","","","","1"
"2018-07","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","105.7","","","","1"
"2018-07","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","92.6","","","","1"
"2018-07","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","97.6","","","","1"
"2018-07","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","104.6","","","","1"
"2018-07","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","114.0","","","","1"
"2018-10","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","107.3","","","","1"
"2018-10","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","108.4","","","","1"
"2018-10","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","104.3","","","","1"
"2018-10","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","100.0","","","","1"
"2018-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","103.3","","","","1"
"2018-10","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","109.3","","","","1"
"2018-10","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","89.0","","","","1"
"2018-10","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","94.7","","","","1"
"2018-10","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","106.0","","","","1"
"2018-10","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","118.8","","","","1"
"2019-01","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","108.4","","","","1"
"2019-01","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","108.7","","","","1"
"2019-01","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","103.3","","","","1"
"2019-01","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","98.3","","","","1"
"2019-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","107.4","","","","1"
"2019-01","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","110.1","","","","1"
"2019-01","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","86.0","","","","1"
"2019-01","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","94.2","","","","1"
"2019-01","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","108.9","","","","1"
"2019-01","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","119.4","","","","1"
"2019-04","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","108.3","","","","1"
"2019-04","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","109.6","","","","1"
"2019-04","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","104.9","","","","1"
"2019-04","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","96.3","","","","1"
"2019-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","117.0","","","","1"
"2019-04","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","110.1","","","","1"
"2019-04","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","84.4","","","","1"
"2019-04","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","93.9","","","","1"
"2019-04","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","107.2","","","","1"
"2019-04","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","129.2","","","","1"
"2019-07","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","106.9","","","","1"
"2019-07","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","107.5","","","","1"
"2019-07","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","107.9","","","","1"
"2019-07","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","95.7","","","","1"
"2019-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","120.6","","","","1"
"2019-07","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","108.2","","","","1"
"2019-07","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","82.9","","","","1"
"2019-07","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","92.2","","","","1"
"2019-07","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","105.1","","","","1"
"2019-07","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","130.3","","","","1"
